Problem Type,Solution Method,Clustering Method,Number of Vehicles,Max Route Time,Max Route Time wo Turns,Total Route Time,Total Route Time wo Turns,Avg Route Time,Avg Route Time wo Turns,Std Dev Route Time,Std Dev Route Time wo Turns,Min Route Time,Min Route Time wo Turns,Shortest Path Time(Sec),Balanced GP Time(Sec),Capacitated GP Time(Sec),Computational Time(Sec),VA(NHO),VA(ATD),VA(CCI),VA(DMT),VA(ROI),VA(AOI),Optimal,Lower Bound,MIP Gap
3,1,-1,2,227.447,172.947,449.41,317.41,224.705,158.705,3.87805,20.1415,221.963,144.463,0.015,0,0,3601.32,0.487497,35.8162,1.33333,210,1.81606,0.383281,0,227.707,0.0907966
Vehicle No,Load No,Sequence No,Arc,From Node,To Node,Is Edge,Required,Demand,Traveling Cost,Service Cost,Driver's Service Cost,Served,Dumped,Turn Type,Turn Cost,Depart Time,Arrival Time,Visit No,Shape
0,0,0,205,1,2,1,0,0,1,0,0,0,0,None,0,0,1,1,"LINESTRING(0.000000 0.000000,1.000000 0.000000)"
0,0,1,53,2,12,1,1,15,1,2.656,3.16064,1,0,Left,2.5,3.5,6.66064,1,"LINESTRING(1.000000 0.000000,1.000000 1.000000)"
0,0,2,140,12,11,1,0,0,1,0,0,0,0,Left,2.5,9.16064,10.1606,1,"LINESTRING(1.000000 1.000000,0.000000 1.000000)"
0,0,3,139,11,21,1,0,0,1,0,0,0,0,Right,0.5,10.6606,11.6606,1,"LINESTRING(0.000000 1.000000,0.000000 2.000000)"
0,0,4,57,21,22,1,1,15,1,2.1447,2.55219,1,0,Right,0.5,12.1606,14.7128,1,"LINESTRING(0.000000 2.000000,1.000000 2.000000)"
0,0,5,39,22,23,1,1,5,1,3.1493,3.74767,1,0,Straight,0,14.7128,18.4605,1,"LINESTRING(1.000000 2.000000,2.000000 2.000000)"
0,0,6,183,23,24,1,0,0,1,0,0,0,0,Straight,0,18.4605,19.4605,1,"LINESTRING(2.000000 2.000000,3.000000 2.000000)"
0,0,7,121,24,25,1,0,0,1,0,0,0,0,Straight,0,19.4605,20.4605,1,"LINESTRING(3.000000 2.000000,4.000000 2.000000)"
0,0,8,25,25,26,1,1,20,1,3.8017,4.52402,1,0,Straight,0,20.4605,24.9845,1,"LINESTRING(4.000000 2.000000,5.000000 2.000000)"
0,0,9,46,26,16,1,1,15,1,2.624,3.12256,1,0,Right,0.5,25.4845,28.6071,1,"LINESTRING(5.000000 2.000000,5.000000 1.000000)"
0,0,10,54,16,15,1,1,15,1,2.8366,3.37555,1,0,Right,0.5,29.1071,32.4826,1,"LINESTRING(5.000000 1.000000,4.000000 1.000000)"
0,0,11,184,15,14,1,0,0,1,0,0,0,0,Straight,0,32.4826,33.4826,1,"LINESTRING(4.000000 1.000000,3.000000 1.000000)"
0,0,12,61,14,24,1,1,5,1,3.0489,3.62819,1,0,Right,0.5,33.9826,37.6108,1,"LINESTRING(3.000000 1.000000,3.000000 2.000000)"
0,0,13,177,24,34,1,0,0,1,0,0,0,0,Straight,0,37.6108,38.6108,1,"LINESTRING(3.000000 2.000000,3.000000 3.000000)"
0,0,14,179,34,44,1,0,0,1,0,0,0,0,Straight,0,38.6108,39.6108,1,"LINESTRING(3.000000 3.000000,3.000000 4.000000)"
