Problem Type,Solution Method,Clustering Method,Number of Vehicles,Max Route Time,Max Route Time wo Turns,Total Route Time,Total Route Time wo Turns,Avg Route Time,Avg Route Time wo Turns,Std Dev Route Time,Std Dev Route Time wo Turns,Min Route Time,Min Route Time wo Turns,Shortest Path Time(Sec),Balanced GP Time(Sec),Capacitated GP Time(Sec),Computational Time(Sec),VA(NHO),VA(ATD),VA(CCI),VA(DMT),VA(ROI),VA(AOI),Optimal,Lower Bound,MIP Gap
3,1,-1,2,87.7346,64.2346,174.787,119.787,87.3935,59.8935,0.482371,6.13923,87.0524,55.5524,0.003,0,0,2.35,0,16.4444,2,11,0.966753,0.260214,1,92.0524,0
Vehicle No,Load No,Sequence No,Arc,From Node,To Node,Is Edge,Required,Demand,Traveling Cost,Service Cost,Driver's Service Cost,Served,Dumped,Turn Type,Turn Cost,Depart Time,Arrival Time,Visit No,Shape
0,0,0,21,1,2,1,0,0,1,0,0,0,0,None,0,0,1,1,"LINESTRING(0.000000 0.000000,1.000000 0.000000)"
0,0,1,19,2,3,1,0,0,1,0,0,0,0,Straight,0,1,2,1,"LINESTRING(1.000000 0.000000,2.000000 0.000000)"
0,0,2,39,3,8,1,0,0,1,0,0,0,0,Left,2.5,4.5,5.5,1,"LINESTRING(2.000000 0.000000,2.000000 1.000000)"
0,0,3,15,8,9,1,1,5,1,3.942,4.7304,0,0,Right,0.5,6,7,1,"LINESTRING(2.000000 1.000000,3.000000 1.000000)"
0,0,4,16,9,4,1,1,20,1,2.1207,2.54484,0,0,Right,0.5,7.5,8.5,1,"LINESTRING(3.000000 1.000000,3.000000 0.000000)"
0,0,5,17,4,9,1,1,20,1,2.1207,2.54484,1,0,U,12.5,21,23.5448,1,"LINESTRING(3.000000 0.000000,3.000000 1.000000)"
0,0,6,51,9,10,1,0,0,1,0,0,0,0,Right,0.5,24.0448,25.0448,1,"LINESTRING(3.000000 1.000000,4.000000 1.000000)"
0,0,7,55,10,15,1,0,0,1,0,0,0,0,Left,2.5,27.5448,28.5448,1,"LINESTRING(4.000000 1.000000,4.000000 2.000000)"
0,0,8,11,15,20,1,1,20,1,2.1694,2.60328,0,0,Straight,0,28.5448,29.5448,1,"LINESTRING(4.000000 2.000000,4.000000 3.000000)"
0,0,9,25,20,25,1,0,0,1,0,0,0,0,Straight,0,29.5448,30.5448,1,"LINESTRING(4.000000 3.000000,4.000000 4.000000)"
0,1,0,24,25,20,1,0,0,1,0,0,0,15.8,None,0,46.3448,47.3448,1,"LINESTRING(4.000000 4.000000,4.000000 3.000000)"
0,1,1,10,20,15,1,1,20,1,2.1694,2.60328,1,0,Straight,0,47.3448,49.9481,1,"LINESTRING(4.000000 3.000000,4.000000 2.000000)"
0,1,2,12,15,14,1,1,20,1,3.0562,3.66744,1,0,Right,0.5,50.4481,54.1156,1,"LINESTRING(4.000000 2.000000,3.000000 2.000000)"
0,1,3,7,14,19,1,1,10,1,3.7119,4.45428,0,0,Right,0.5,54.6156,55.6156,1,"LINESTRING(3.000000 2.000000,3.000000 3.000000)"
0,1,4,9,19,24,1,1,10,1,3.1825,3.819,1,0,Straight,0,55.6156,59.4346,1,"LINESTRING(3.000000 3.000000,3.000000 4.000000)"
0,1,5,27,24,25,1,0,0,1,0,0,0,0,Right,0.5,59.9346,60.9346,1,"LINESTRING(3.000000 4.000000,4.000000 4.000000)"
0,2,0,26,25,24,1,0,0,1,0,0,0,15.8,None,0,76.7346,77.7346,1,"LINESTRING(4.000000 4.000000,3.000000 4.000000)"
0,2,1,52,24,23,1,0,0,1,0,0,0,0,Straight,0,77.7346,78.7346,1,"LINESTRING(3.000000 4.000000,2.000000 4.000000)"
0,2,2,46,23,18,1,0,0,1,0,0,0,0,Left,2.5,81.2346,82.2346,1,"LINESTRING(2.000000 4.000000,2.000000 3.000000)"
0,2,3,40,18,13,1,0,0,1,0,0,0,0,Straight,0,82.2346,83.2346,1,"LINESTRING(2.000000 3.000000,2.000000 2.000000)"
0,2,4,56,13,8,1,0,0,1,0,0,0,0,Straight,0,83.2346,84.2346,1,"LINESTRING(2.000000 2.000000,2.000000 1.000000)"
0,2,5,38,8,3,1,0,0,1,0,0,0,0,Straight,0,84.2346,85.2346,1,"LINESTRING(2.000000 1.000000,2.000000 0.000000)"
0,2,6,18,3,2,1,0,0,1,0,0,0,0,Right,0.5,85.7346,86.7346,1,"LINESTRING(2.000000 0.000000,1.000000 0.000000)"
0,2,7,20,2,1,1,0,0,1,0,0,0,0,Straight,0,86.7346,87.7346,1,"LINESTRING(1.000000 0.000000,0.000000 0.000000)"
1,0,0,21,1,2,1,0,0,1,0,0,0,0,None,0,0,1,2,"LINESTRING(0.000000 0.000000,1.000000 0.000000)"
1,0,1,37,2,7,1,0,0,1,0,0,0,0,Left,2.5,3.5,4.5,1,"LINESTRING(1.000000 0.000000,1.000000 1.000000)"
1,0,2,35,7,12,1,0,0,1,0,0,0,0,Straight,0,4.5,5.5,1,"LINESTRING(1.000000 1.000000,1.000000 2.000000)"
1,0,3,3,12,17,1,1,15,1,3.4615,3.18458,1,0,Straight,0,5.5,8.68458,1,"LINESTRING(1.000000 2.000000,1.000000 3.000000)"
1,0,4,1,17,22,1,1,20,1,2.5102,2.30938,0,0,Straight,0,8.68458,9.68458,1,"LINESTRING(1.000000 3.000000,1.000000 4.000000)"
1,0,5,0,22,17,1,1,20,1,2.5102,2.30938,1,0,U,12.5,22.1846,24.494,1,"LINESTRING(1.000000 4.000000,1.000000 3.000000)"
1,0,6,2,17,12,1,1,15,1,3.4615,3.18458,0,0,Straight,0,24.494,25.494,1,"LINESTRING(1.000000 3.000000,1.000000 2.000000)"
1,0,7,4,12,11,1,1,10,1,2.4096,2.21683,1,0,Right,0.5,25.994,28.2108,1,"LINESTRING(1.000000 2.000000,0.000000 2.000000)"
1,0,8,29,11,16,1,0,0,1,0,0,0,0,Right,0.5,28.7108,29.7108,1,"LINESTRING(0.000000 2.000000,0.000000 3.000000)"
1,0,9,31,16,17,1,0,0,1,0,0,0,0,Right,0.5,30.2108,31.2108,1,"LINESTRING(0.000000 3.000000,1.000000 3.000000)"
1,0,10,2,17,12,1,1,15,1,3.4615,3.18458,0,0,Right,0.5,31.7108,32.7108,2,"LINESTRING(1.000000 3.000000,1.000000 2.000000)"
1,0,11,34,12,7,1,0,0,1,0,0,0,0,Straight,0,32.7108,33.7108,1,"LINESTRING(1.000000 2.000000,1.000000 1.000000)"
1,0,12,36,7,2,1,0,0,1,0,0,0,0,Straight,0,33.7108,34.7108,1,"LINESTRING(1.000000 1.000000,1.000000 0.000000)"
1,0,13,19,2,3,1,0,0,1,0,0,0,0,Left,2.5,37.2108,38.2108,2,"LINESTRING(1.000000 0.000000,2.000000 0.000000)"
1,0,14,39,3,8,1,0,0,1,0,0,0,0,Left,2.5,40.7108,41.7108,2,"LINESTRING(2.000000 0.000000,2.000000 1.000000)"
1,0,15,15,8,9,1,1,5,1,3.942,3.62664,1,0,Right,0.5,42.2108,45.8374,2,"LINESTRING(2.000000 1.000000,3.000000 1.000000)"
1,0,16,51,9,10,1,0,0,1,0,0,0,0,Straight,0,45.8374,46.8374,2,"LINESTRING(3.000000 1.000000,4.000000 1.000000)"
1,0,17,55,10,15,1,0,0,1,0,0,0,0,Left,2.5,49.3374,50.3374,2,"LINESTRING(4.000000 1.000000,4.000000 2.000000)"
1,0,18,12,15,14,1,1,20,1,3.0562,2.8117,0,0,Left,2.5,52.8374,53.8374,2,"LINESTRING(4.000000 2.000000,3.000000 2.000000)"
1,0,19,7,14,19,1,1,10,1,3.7119,3.41495,1,0,Right,0.5,54.3374,57.7524,2,"LINESTRING(3.000000 2.000000,3.000000 3.000000)"
1,0,20,9,19,24,1,1,10,1,3.1825,2.9279,0,0,Straight,0,57.7524,58.7524,2,"LINESTRING(3.000000 3.000000,3.000000 4.000000)"
1,0,21,27,24,25,1,0,0,1,0,0,0,0,Right,0.5,59.2524,60.2524,2,"LINESTRING(3.000000 4.000000,4.000000 4.000000)"
