Problem Type,Solution Method,Clustering Method,Number of Vehicles,Max Route Time,Max Route Time wo Turns,Total Route Time,Total Route Time wo Turns,Avg Route Time,Avg Route Time wo Turns,Std Dev Route Time,Std Dev Route Time wo Turns,Min Route Time,Min Route Time wo Turns,Shortest Path Time(Sec),Balanced GP Time(Sec),Capacitated GP Time(Sec),Computational Time(Sec),VA(NHO),VA(ATD),VA(CCI),VA(DMT),VA(ROI),VA(AOI),Optimal,Lower Bound,MIP Gap
3,1,-1,2,59.1902,36.7035,113.894,70.3937,56.9468,35.1968,3.17254,2.13076,54.7035,33.6902,0.006,0,0,0.152,0.277778,3.33333,2,2,0.846244,0.144084,1,62.1902,1.01608e-10
Vehicle No,Load No,Sequence No,Arc,From Node,To Node,Is Edge,Required,Demand,Traveling Cost,Service Cost,Driver's Service Cost,Served,Dumped,Turn Type,Turn Cost,Depart Time,Arrival Time,Visit No,Shape
0,0,0,19,1,6,1,0,0,1,0,0,0,0,None,0,0,1,1,"LINESTRING(0.000000 0.000000,0.000000 1.000000)"
0,0,1,29,6,11,1,0,0,1,0,0,0,0,Straight,0,1,2,1,"LINESTRING(0.000000 1.000000,0.000000 2.000000)"
0,0,2,33,11,16,1,0,0,1,0,0,0,0,Straight,0,2,3,1,"LINESTRING(0.000000 2.000000,0.000000 3.000000)"
0,0,3,5,16,17,1,1,20,1,2.9561,3.31083,1,0,Right,0.5,3.5,6.81083,1,"LINESTRING(0.000000 3.000000,1.000000 3.000000)"
0,0,4,0,17,12,1,1,15,1,2.7871,3.12155,1,0,Right,0.5,7.31083,10.4324,1,"LINESTRING(1.000000 3.000000,1.000000 2.000000)"
0,0,5,13,12,13,1,0,0,1,0,0,0,0,Left,2.5,12.9324,13.9324,1,"LINESTRING(1.000000 2.000000,2.000000 2.000000)"
0,0,6,9,13,14,1,1,5,1,2.5635,2.87112,1,0,Straight,0,13.9324,16.8035,1,"LINESTRING(2.000000 2.000000,3.000000 2.000000)"
0,0,7,37,14,19,1,0,0,1,0,0,0,0,Left,2.5,19.3035,20.3035,1,"LINESTRING(3.000000 2.000000,3.000000 3.000000)"
0,0,8,42,19,18,1,0,0,1,0,0,0,0,Left,2.5,22.8035,23.8035,1,"LINESTRING(3.000000 3.000000,2.000000 3.000000)"
0,0,9,39,18,23,1,0,0,1,0,0,0,0,Right,0.5,24.3035,25.3035,1,"LINESTRING(2.000000 3.000000,2.000000 4.000000)"
0,0,10,35,23,24,1,0,0,1,0,0,0,0,Right,0.5,25.8035,26.8035,1,"LINESTRING(2.000000 4.000000,3.000000 4.000000)"
0,0,11,23,24,25,1,0,0,1,0,0,0,0,Straight,0,26.8035,27.8035,1,"LINESTRING(3.000000 4.000000,4.000000 4.000000)"
0,1,0,22,25,24,1,0,0,1,0,0,0,10.4,None,0,38.2035,39.2035,1,"LINESTRING(4.000000 4.000000,3.000000 4.000000)"
0,1,1,34,24,23,1,0,0,1,0,0,0,0,Straight,0,39.2035,40.2035,1,"LINESTRING(3.000000 4.000000,2.000000 4.000000)"
0,1,2,38,23,18,1,0,0,1,0,0,0,0,Left,2.5,42.7035,43.7035,1,"LINESTRING(2.000000 4.000000,2.000000 3.000000)"
0,1,3,6,18,13,1,1,5,1,3.508,3.92896,0,0,Straight,0,43.7035,44.7035,1,"LINESTRING(2.000000 3.000000,2.000000 2.000000)"
0,1,4,12,13,12,1,0,0,1,0,0,0,0,Right,0.5,45.2035,46.2035,1,"LINESTRING(2.000000 2.000000,1.000000 2.000000)"
0,1,5,2,12,7,1,1,15,1,2.2842,2.5583,0,0,Left,2.5,48.7035,49.7035,1,"LINESTRING(1.000000 2.000000,1.000000 1.000000)"
0,1,6,26,7,6,1,0,0,1,0,0,0,0,Right,0.5,50.2035,51.2035,1,"LINESTRING(1.000000 1.000000,0.000000 1.000000)"
0,1,7,18,6,1,1,0,0,1,0,0,0,0,Left,2.5,53.7035,54.7035,1,"LINESTRING(0.000000 1.000000,0.000000 0.000000)"
1,0,0,19,1,6,1,0,0,1,0,0,0,0,None,0,0,1,2,"LINESTRING(0.000000 0.000000,0.000000 1.000000)"
