Problem Type,Solution Method,Clustering Method,Number of Vehicles,Max Route Time,Max Route Time wo Turns,Total Route Time,Total Route Time wo Turns,Avg Route Time,Avg Route Time wo Turns,Std Dev Route Time,Std Dev Route Time wo Turns,Min Route Time,Min Route Time wo Turns,Shortest Path Time(Sec),Balanced GP Time(Sec),Capacitated GP Time(Sec),Computational Time(Sec),VA(NHO),VA(ATD),VA(CCI),VA(DMT),VA(ROI),VA(AOI),Optimal,Lower Bound,MIP Gap
3,1,-1,2,95.4486,62.4775,188.426,117.926,94.213,58.963,1.74727,4.97024,92.9775,55.4486,0.003,0,0,3.77,0,24,1.16667,12,0.423516,0.152185,1,101.449,0
Vehicle No,Load No,Sequence No,Arc,From Node,To Node,Is Edge,Required,Demand,Traveling Cost,Service Cost,Driver's Service Cost,Served,Dumped,Turn Type,Turn Cost,Depart Time,Arrival Time,Visit No,Shape
0,0,0,23,1,6,1,0,0,1,0,0,0,0,None,0,0,1,1,"LINESTRING(0.000000 0.000000,0.000000 1.000000)"
0,0,1,47,6,11,1,0,0,1,0,0,0,0,Straight,0,1,2,1,"LINESTRING(0.000000 1.000000,0.000000 2.000000)"
0,0,2,33,11,12,1,0,0,1,0,0,0,0,Right,0.5,2.5,3.5,1,"LINESTRING(0.000000 2.000000,1.000000 2.000000)"
0,0,3,7,12,13,1,1,15,1,2.1716,2.56249,1,0,Straight,0,3.5,6.06249,1,"LINESTRING(1.000000 2.000000,2.000000 2.000000)"
0,0,4,19,13,14,1,0,0,1,0,0,0,0,Straight,0,6.06249,7.06249,1,"LINESTRING(2.000000 2.000000,3.000000 2.000000)"
0,0,5,53,14,19,1,0,0,1,0,0,0,0,Left,2.5,9.56249,10.5625,1,"LINESTRING(3.000000 2.000000,3.000000 3.000000)"
0,0,6,51,19,24,1,0,0,1,0,0,0,0,Straight,0,10.5625,11.5625,1,"LINESTRING(3.000000 3.000000,3.000000 4.000000)"
0,0,7,27,24,25,1,0,0,1,0,0,0,0,Right,0.5,12.0625,13.0625,1,"LINESTRING(3.000000 4.000000,4.000000 4.000000)"
0,1,0,24,25,20,1,0,0,1,0,0,0,13.9,None,0,26.9625,27.9625,1,"LINESTRING(4.000000 4.000000,4.000000 3.000000)"
0,1,1,12,20,15,1,1,5,1,2.3621,2.78728,0,0,Straight,0,27.9625,28.9625,1,"LINESTRING(4.000000 3.000000,4.000000 2.000000)"
