Problem Type,Solution Method,Clustering Method,Number of Vehicles,Max Route Time,Max Route Time wo Turns,Total Route Time,Total Route Time wo Turns,Avg Route Time,Avg Route Time wo Turns,Std Dev Route Time,Std Dev Route Time wo Turns,Min Route Time,Min Route Time wo Turns,Shortest Path Time(Sec),Balanced GP Time(Sec),Capacitated GP Time(Sec),Computational Time(Sec),VA(NHO),VA(ATD),VA(CCI),VA(DMT),VA(ROI),VA(AOI),Optimal,Lower Bound,MIP Gap
3,1,-1,2,81.6923,60.6923,161.578,115.578,80.789,57.789,1.27737,4.10579,79.8858,54.8858,0.003,0,0,1.156,0.0654762,18.6667,1.2,7,0.955689,0.0903241,1,84.6923,0
Vehicle No,Load No,Sequence No,Arc,From Node,To Node,Is Edge,Required,Demand,Traveling Cost,Service Cost,Driver's Service Cost,Served,Dumped,Turn Type,Turn Cost,Depart Time,Arrival Time,Visit No,Shape
0,0,0,19,1,6,1,0,0,1,0,0,0,0,None,0,0,1,1,"LINESTRING(0.000000 0.000000,0.000000 1.000000)"
0,0,1,3,6,7,1,1,5,1,3.0014,3.54165,1,0,Right,0.5,1.5,5.04165,1,"LINESTRING(0.000000 1.000000,1.000000 1.000000)"
0,0,2,33,7,12,1,0,0,1,0,0,0,0,Left,2.5,7.54165,8.54165,1,"LINESTRING(1.000000 1.000000,1.000000 2.000000)"
0,0,3,31,12,17,1,0,0,1,0,0,0,0,Straight,0,8.54165,9.54165,1,"LINESTRING(1.000000 2.000000,1.000000 3.000000)"
0,0,4,27,17,22,1,0,0,1,0,0,0,0,Straight,0,9.54165,10.5417,1,"LINESTRING(1.000000 3.000000,1.000000 4.000000)"
0,0,5,13,22,23,1,0,0,1,0,0,0,0,Right,0.5,11.0417,12.0417,1,"LINESTRING(1.000000 4.000000,2.000000 4.000000)"
0,0,6,7,23,24,1,1,5,1,2.8461,3.3584,1,0,Straight,0,12.0417,15.4,1,"LINESTRING(2.000000 4.000000,3.000000 4.000000)"
0,0,7,23,24,25,1,0,0,1,0,0,0,0,Straight,0,15.4,16.4001,1,"LINESTRING(3.000000 4.000000,4.000000 4.000000)"
0,1,0,22,25,24,1,0,0,1,0,0,0,10,None,0,26.4001,27.4001,1,"LINESTRING(4.000000 4.000000,3.000000 4.000000)"
0,1,1,6,24,23,1,1,5,1,2.8461,3.3584,0,0,Straight,0,27.4001,28.4001,1,"LINESTRING(3.000000 4.000000,2.000000 4.000000)"
0,1,2,38,23,18,1,0,0,1,0,0,0,0,Left,2.5,30.9001,31.9001,1,"LINESTRING(2.000000 4.000000,2.000000 3.000000)"
0,1,3,44,18,13,1,0,0,1,0,0,0,0,Straight,0,31.9001,32.9001,1,"LINESTRING(2.000000 3.000000,2.000000 2.000000)"
0,1,4,40,13,8,1,0,0,1,0,0,0,0,Straight,0,32.9001,33.9001,1,"LINESTRING(2.000000 2.000000,2.000000 1.000000)"
0,1,5,11,8,9,1,1,10,1,2.5303,2.98575,1,0,Left,2.5,36.4001,39.3858,1,"LINESTRING(2.000000 1.000000,3.000000 1.000000)"
0,1,6,10,9,8,1,1,10,1,2.5303,2.98575,0,0,U,12.5,51.8858,52.8858,1,"LINESTRING(3.000000 1.000000,2.000000 1.000000)"
0,1,7,41,8,13,1,0,0,1,0,0,0,0,Right,0.5,53.3858,54.3858,1,"LINESTRING(2.000000 1.000000,2.000000 2.000000)"
0,1,8,45,13,18,1,0,0,1,0,0,0,0,Straight,0,54.3858,55.3858,1,"LINESTRING(2.000000 2.000000,2.000000 3.000000)"
0,1,9,39,18,23,1,0,0,1,0,0,0,0,Straight,0,55.3858,56.3858,1,"LINESTRING(2.000000 3.000000,2.000000 4.000000)"
0,1,10,7,23,24,1,1,5,1,2.8461,3.3584,0,0,Right,0.5,56.8858,57.8858,2,"LINESTRING(2.000000 4.000000,3.000000 4.000000)"
0,1,11,23,24,25,1,0,0,1,0,0,0,0,Straight,0,57.8858,58.8858,2,"LINESTRING(3.000000 4.000000,4.000000 4.000000)"
0,2,0,22,25,24,1,0,0,1,0,0,0,10,None,0,68.8858,69.8858,2,"LINESTRING(4.000000 4.000000,3.000000 4.000000)"
0,2,1,6,24,23,1,1,5,1,2.8461,3.3584,0,0,Straight,0,69.8858,70.8858,2,"LINESTRING(3.000000 4.000000,2.000000 4.000000)"
0,2,2,12,23,22,1,0,0,1,0,0,0,0,Straight,0,70.8858,71.8858,1,"LINESTRING(2.000000 4.000000,1.000000 4.000000)"
0,2,3,26,22,17,1,0,0,1,0,0,0,0,Left,2.5,74.3858,75.3858,1,"LINESTRING(1.000000 4.000000,1.000000 3.000000)"
0,2,4,30,17,12,1,0,0,1,0,0,0,0,Straight,0,75.3858,76.3858,1,"LINESTRING(1.000000 3.000000,1.000000 2.000000)"
