Problem Type,Solution Method,Clustering Method,Number of Vehicles,Max Route Time,Max Route Time wo Turns,Total Route Time,Total Route Time wo Turns,Avg Route Time,Avg Route Time wo Turns,Std Dev Route Time,Std Dev Route Time wo Turns,Min Route Time,Min Route Time wo Turns,Shortest Path Time(Sec),Balanced GP Time(Sec),Capacitated GP Time(Sec),Computational Time(Sec),VA(NHO),VA(ATD),VA(CCI),VA(DMT),VA(ROI),VA(AOI),Optimal,Lower Bound,MIP Gap
3,1,-1,3,183.002,124.769,537.55,354.55,179.183,118.183,3.34388,10.9852,176.779,105.502,0.014,0,0,1809.27,0.630963,31.9613,1.58824,224,2.75964,0.879293,1,195.002,0
Vehicle No,Load No,Sequence No,Arc,From Node,To Node,Is Edge,Required,Demand,Traveling Cost,Service Cost,Driver's Service Cost,Served,Dumped,Turn Type,Turn Cost,Depart Time,Arrival Time,Visit No,Shape
0,0,0,181,1,2,1,0,0,1,0,0,0,0,None,0,0,1,1,"LINESTRING(0.000000 0.000000,1.000000 0.000000)"
0,0,1,35,2,12,1,1,15,1,3.8119,3.8119,1,0,Left,2.5,3.5,7.3119,1,"LINESTRING(1.000000 0.000000,1.000000 1.000000)"
0,0,2,123,12,22,1,0,0,1,0,0,0,0,Straight,0,7.3119,8.3119,1,"LINESTRING(1.000000 1.000000,1.000000 2.000000)"
0,0,3,41,22,23,1,1,5,1,2.7685,2.7685,1,0,Right,0.5,8.8119,11.5804,1,"LINESTRING(1.000000 2.000000,2.000000 2.000000)"
0,0,4,27,23,24,1,1,10,1,2.6796,2.6796,1,0,Straight,0,11.5804,14.26,1,"LINESTRING(2.000000 2.000000,3.000000 2.000000)"
0,0,5,145,24,34,1,0,0,1,0,0,0,0,Left,2.5,16.76,17.76,1,"LINESTRING(3.000000 2.000000,3.000000 3.000000)"
0,0,6,21,34,35,1,1,15,1,3.5866,3.5866,1,0,Right,0.5,18.26,21.8466,1,"LINESTRING(3.000000 3.000000,4.000000 3.000000)"
0,0,7,105,35,45,1,0,0,1,0,0,0,0,Left,2.5,24.3466,25.3466,1,"LINESTRING(4.000000 3.000000,4.000000 4.000000)"
0,0,8,39,45,55,1,1,15,1,2.7032,2.7032,0,0,Straight,0,25.3466,26.3466,1,"LINESTRING(4.000000 4.000000,4.000000 5.000000)"
0,0,9,13,55,65,1,1,10,1,3.2848,3.2848,0,0,Straight,0,26.3466,27.3466,1,"LINESTRING(4.000000 5.000000,4.000000 6.000000)"
0,0,10,3,65,75,1,1,20,1,3.8356,3.8356,0,0,Straight,0,27.3466,28.3466,1,"LINESTRING(4.000000 6.000000,4.000000 7.000000)"
0,0,11,14,75,74,1,1,10,1,2.5302,2.5302,1,0,Left,2.5,30.8466,33.3768,1,"LINESTRING(4.000000 7.000000,3.000000 7.000000)"
0,0,12,156,74,73,1,0,0,1,0,0,0,0,Straight,0,33.3768,34.3768,1,"LINESTRING(3.000000 7.000000,2.000000 7.000000)"
0,0,13,18,73,72,1,1,10,1,3.9169,3.9169,1,0,Straight,0,34.3768,38.2937,1,"LINESTRING(2.000000 7.000000,1.000000 7.000000)"
0,0,14,43,72,82,1,1,15,1,3.6547,3.6547,1,0,Right,0.5,38.7937,42.4484,1,"LINESTRING(1.000000 7.000000,1.000000 8.000000)"
0,0,15,17,82,92,1,1,5,1,2.4155,2.4155,1,0,Straight,0,42.4484,44.8639,1,"LINESTRING(1.000000 8.000000,1.000000 9.000000)"
0,0,16,47,92,93,1,1,5,1,2.8662,2.8662,1,0,Right,0.5,45.3639,48.2301,1,"LINESTRING(1.000000 9.000000,2.000000 9.000000)"
0,0,17,29,93,94,1,1,10,1,3.2313,3.2313,1,0,Straight,0,48.2301,51.4614,1,"LINESTRING(2.000000 9.000000,3.000000 9.000000)"
0,0,18,31,94,95,1,1,20,1,3.3691,3.3691,1,0,Straight,0,51.4614,54.8305,1,"LINESTRING(3.000000 9.000000,4.000000 9.000000)"
0,0,19,160,95,85,1,0,0,1,0,0,0,0,Right,0.5,55.3305,56.3305,1,"LINESTRING(4.000000 9.000000,4.000000 8.000000)"
0,0,20,162,85,75,1,0,0,1,0,0,0,0,Straight,0,56.3305,57.3305,1,"LINESTRING(4.000000 8.000000,4.000000 7.000000)"
0,0,21,14,75,74,1,1,10,1,2.5302,2.5302,0,0,Right,0.5,57.8305,58.8305,2,"LINESTRING(4.000000 7.000000,3.000000 7.000000)"
0,0,22,49,74,84,1,1,20,1,3.3208,3.3208,1,0,Right,0.5,59.3305,62.6513,1,"LINESTRING(3.000000 7.000000,3.000000 8.000000)"
0,0,23,5,84,85,1,1,10,1,3.9795,3.9795,1,0,Right,0.5,63.1513,67.1308,1,"LINESTRING(3.000000 8.000000,4.000000 8.000000)"
0,0,24,162,85,75,1,0,0,1,0,0,0,0,Right,0.5,67.6308,68.6308,2,"LINESTRING(4.000000 8.000000,4.000000 7.000000)"
0,0,25,2,75,65,1,1,20,1,3.8356,3.8356,1,0,Straight,0,68.6308,72.4664,1,"LINESTRING(4.000000 7.000000,4.000000 6.000000)"
0,0,26,12,65,55,1,1,10,1,3.2848,3.2848,0,0,Straight,0,72.4664,73.4664,1,"LINESTRING(4.000000 6.000000,4.000000 5.000000)"
0,0,27,38,55,45,1,1,15,1,2.7032,2.7032,0,0,Straight,0,73.4664,74.4664,1,"LINESTRING(4.000000 5.000000,4.000000 4.000000)"
0,0,28,95,45,46,1,0,0,1,0,0,0,0,Left,2.5,76.9664,77.9664,1,"LINESTRING(4.000000 4.000000,5.000000 4.000000)"
0,0,29,193,46,47,1,0,0,1,0,0,0,0,Straight,0,77.9664,78.9664,1,"LINESTRING(5.000000 4.000000,6.000000 4.000000)"
0,0,30,214,47,37,1,0,0,1,0,0,0,0,Right,0.5,79.4664,80.4664,1,"LINESTRING(6.000000 4.000000,6.000000 3.000000)"
0,0,31,50,37,27,1,1,10,1,2.9868,2.9868,1,0,Straight,0,80.4664,83.4532,1,"LINESTRING(6.000000 3.000000,6.000000 2.000000)"
0,0,32,223,27,28,1,0,0,1,0,0,0,0,Left,2.5,85.9532,86.9532,1,"LINESTRING(6.000000 2.000000,7.000000 2.000000)"
0,0,33,226,28,18,1,0,0,1,0,0,0,0,Right,0.5,87.4532,88.4532,1,"LINESTRING(7.000000 2.000000,7.000000 1.000000)"
0,0,34,204,18,8,1,0,0,1,0,0,0,0,Straight,0,88.4532,89.4532,1,"LINESTRING(7.000000 1.000000,7.000000 0.000000)"
0,0,35,97,8,9,1,0,0,1,0,0,0,0,Left,2.5,91.9532,92.9532,1,"LINESTRING(7.000000 0.000000,8.000000 0.000000)"
0,0,36,89,9,19,1,1,5,1,2.8512,2.8512,0,0,Left,2.5,95.4532,96.4532,1,"LINESTRING(8.000000 0.000000,8.000000 1.000000)"
0,0,37,81,19,29,1,1,20,1,2.9656,2.9656,0,0,Straight,0,96.4532,97.4532,1,"LINESTRING(8.000000 1.000000,8.000000 2.000000)"
0,0,38,91,29,39,1,1,5,1,2.1271,2.1271,1,0,Straight,0,97.4532,99.5803,1,"LINESTRING(8.000000 2.000000,8.000000 3.000000)"
0,0,39,83,39,40,1,1,20,1,3.1422,3.1422,0,0,Right,0.5,100.08,101.08,1,"LINESTRING(8.000000 3.000000,9.000000 3.000000)"
0,0,40,231,40,50,1,0,0,1,0,0,0,0,Left,2.5,103.58,104.58,1,"LINESTRING(9.000000 3.000000,9.000000 4.000000)"
0,0,41,78,50,49,1,1,15,1,3.3084,3.3084,0,0,Left,2.5,107.08,108.08,1,"LINESTRING(9.000000 4.000000,8.000000 4.000000)"
0,0,42,85,49,59,1,1,10,1,3.989,3.989,1,0,Right,0.5,108.58,112.569,1,"LINESTRING(8.000000 4.000000,8.000000 5.000000)"
0,0,43,253,59,69,1,0,0,1,0,0,0,0,Straight,0,112.569,113.569,1,"LINESTRING(8.000000 5.000000,8.000000 6.000000)"
0,0,44,241,69,79,1,0,0,1,0,0,0,0,Straight,0,113.569,114.569,1,"LINESTRING(8.000000 6.000000,8.000000 7.000000)"
0,0,45,239,79,80,1,0,0,1,0,0,0,0,Right,0.5,115.069,116.069,1,"LINESTRING(8.000000 7.000000,9.000000 7.000000)"
0,0,46,237,80,90,1,0,0,1,0,0,0,0,Left,2.5,118.569,119.569,1,"LINESTRING(9.000000 7.000000,9.000000 8.000000)"
0,0,47,255,90,100,1,0,0,1,0,0,0,0,Straight,0,119.569,120.569,1,"LINESTRING(9.000000 8.000000,9.000000 9.000000)"
