Problem Type,Solution Method,Clustering Method,Number of Vehicles,Max Route Time,Max Route Time wo Turns,Total Route Time,Total Route Time wo Turns,Avg Route Time,Avg Route Time wo Turns,Std Dev Route Time,Std Dev Route Time wo Turns,Min Route Time,Min Route Time wo Turns,Shortest Path Time(Sec),Balanced GP Time(Sec),Capacitated GP Time(Sec),Computational Time(Sec),VA(NHO),VA(ATD),VA(CCI),VA(DMT),VA(ROI),VA(AOI),Optimal,Lower Bound,MIP Gap
3,1,-1,3,174.283,123.784,520.857,360.357,173.619,120.119,0.575365,4.03854,173.284,115.79,0.015,0,0,292.049,0.738539,33.8182,1.42857,253,2.20888,0.676379,1,189.286,2.00677e-05
Vehicle No,Load No,Sequence No,Arc,From Node,To Node,Is Edge,Required,Demand,Traveling Cost,Service Cost,Driver's Service Cost,Served,Dumped,Turn Type,Turn Cost,Depart Time,Arrival Time,Visit No,Shape
0,0,0,141,1,11,1,0,0,1,0,0,0,0,None,0,0,1,1,"LINESTRING(0.000000 0.000000,0.000000 1.000000)"
0,0,1,7,11,21,1,1,20,1,2.9237,2.9237,0,0,Straight,0,1,2,1,"LINESTRING(0.000000 1.000000,0.000000 2.000000)"
0,0,2,103,21,31,1,0,0,1,0,0,0,0,Straight,0,2,3,1,"LINESTRING(0.000000 2.000000,0.000000 3.000000)"
0,0,3,11,31,41,1,1,20,1,2.5652,2.5652,0,0,Straight,0,3,4,1,"LINESTRING(0.000000 3.000000,0.000000 4.000000)"
0,0,4,105,41,42,1,0,0,1,0,0,0,0,Right,0.5,4.5,5.5,1,"LINESTRING(0.000000 4.000000,1.000000 4.000000)"
0,0,5,25,42,43,1,1,10,1,2.2899,2.2899,1,0,Straight,0,5.5,7.7899,1,"LINESTRING(1.000000 4.000000,2.000000 4.000000)"
0,0,6,16,43,33,1,1,5,1,2.6705,2.6705,0,0,Right,0.5,8.2899,9.2899,1,"LINESTRING(2.000000 4.000000,2.000000 3.000000)"
0,0,7,95,33,34,1,0,0,1,0,0,0,0,Left,2.5,11.7899,12.7899,1,"LINESTRING(2.000000 3.000000,3.000000 3.000000)"
0,0,8,55,34,35,1,1,10,1,3.0643,3.0643,0,0,Straight,0,12.7899,13.7899,1,"LINESTRING(3.000000 3.000000,4.000000 3.000000)"
0,0,9,29,35,45,1,1,15,1,3.8009,3.8009,1,0,Left,2.5,16.2899,20.0908,1,"LINESTRING(4.000000 3.000000,4.000000 4.000000)"
0,0,10,39,45,46,1,1,5,1,3.5323,3.5323,1,0,Right,0.5,20.5908,24.1231,1,"LINESTRING(4.000000 4.000000,5.000000 4.000000)"
0,0,11,161,46,56,1,0,0,1,0,0,0,0,Left,2.5,26.6231,27.6231,1,"LINESTRING(5.000000 4.000000,5.000000 5.000000)"
0,0,12,48,56,55,1,1,5,1,3.5073,3.5073,1,0,Left,2.5,30.1231,33.6304,1,"LINESTRING(5.000000 5.000000,4.000000 5.000000)"
0,0,13,52,55,54,1,1,10,1,2.3359,2.3359,1,0,Straight,0,33.6304,35.9663,1,"LINESTRING(4.000000 5.000000,3.000000 5.000000)"
0,0,14,151,54,64,1,0,0,1,0,0,0,0,Right,0.5,36.4663,37.4663,1,"LINESTRING(3.000000 5.000000,3.000000 6.000000)"
0,0,15,179,64,74,1,0,0,1,0,0,0,0,Straight,0,37.4663,38.4663,1,"LINESTRING(3.000000 6.000000,3.000000 7.000000)"
0,0,16,51,74,84,1,1,5,1,2.3542,2.3542,1,0,Straight,0,38.4663,40.8205,1,"LINESTRING(3.000000 7.000000,3.000000 8.000000)"
0,0,17,167,84,94,1,0,0,1,0,0,0,0,Straight,0,40.8205,41.8205,1,"LINESTRING(3.000000 8.000000,3.000000 9.000000)"
0,0,18,187,94,95,1,0,0,1,0,0,0,0,Right,0.5,42.3205,43.3205,1,"LINESTRING(3.000000 9.000000,4.000000 9.000000)"
0,0,19,157,95,96,1,0,0,1,0,0,0,0,Straight,0,43.3205,44.3205,1,"LINESTRING(4.000000 9.000000,5.000000 9.000000)"
0,0,20,184,96,86,1,0,0,1,0,0,0,0,Right,0.5,44.8205,45.8205,1,"LINESTRING(5.000000 9.000000,5.000000 8.000000)"
0,0,21,30,86,76,1,1,20,1,3.0238,3.0238,1,0,Straight,0,45.8205,48.8443,1,"LINESTRING(5.000000 8.000000,5.000000 7.000000)"
0,0,22,40,76,75,1,1,20,1,3.8072,3.8072,1,0,Right,0.5,49.3443,53.1515,1,"LINESTRING(5.000000 7.000000,4.000000 7.000000)"
0,0,23,176,75,74,1,0,0,1,0,0,0,0,Straight,0,53.1515,54.1515,1,"LINESTRING(4.000000 7.000000,3.000000 7.000000)"
0,0,24,51,74,84,1,1,5,1,2.3542,2.3542,0,0,Right,0.5,54.6515,55.6515,2,"LINESTRING(3.000000 7.000000,3.000000 8.000000)"
0,0,25,37,84,85,1,1,5,1,2.7779,2.7779,1,0,Right,0.5,56.1515,58.9294,1,"LINESTRING(3.000000 8.000000,4.000000 8.000000)"
0,0,26,44,85,75,1,1,5,1,2.9662,2.9662,1,0,Right,0.5,59.4294,62.3956,1,"LINESTRING(4.000000 8.000000,4.000000 7.000000)"
0,0,27,41,75,76,1,1,20,1,3.8072,3.8072,0,0,Left,2.5,64.8956,65.8956,1,"LINESTRING(4.000000 7.000000,5.000000 7.000000)"
0,0,28,34,76,66,1,1,15,1,2.6838,2.6838,1,0,Right,0.5,66.3956,69.0794,1,"LINESTRING(5.000000 7.000000,5.000000 6.000000)"
0,0,29,146,66,56,1,0,0,1,0,0,0,0,Straight,0,69.0794,70.0794,1,"LINESTRING(5.000000 6.000000,5.000000 5.000000)"
0,0,30,160,56,46,1,0,0,1,0,0,0,0,Straight,0,70.0794,71.0794,1,"LINESTRING(5.000000 5.000000,5.000000 4.000000)"
0,0,31,42,46,36,1,1,5,1,2.9455,2.9455,1,0,Straight,0,71.0794,74.0249,1,"LINESTRING(5.000000 4.000000,5.000000 3.000000)"
0,0,32,174,36,26,1,0,0,1,0,0,0,0,Straight,0,74.0249,75.0249,1,"LINESTRING(5.000000 3.000000,5.000000 2.000000)"
0,0,33,164,26,16,1,0,0,1,0,0,0,0,Straight,0,75.0249,76.0249,1,"LINESTRING(5.000000 2.000000,5.000000 1.000000)"
0,0,34,97,16,17,1,0,0,1,0,0,0,0,Left,2.5,78.5249,79.5249,1,"LINESTRING(5.000000 1.000000,6.000000 1.000000)"
0,0,35,203,17,18,1,0,0,1,0,0,0,0,Straight,0,79.5249,80.5249,1,"LINESTRING(6.000000 1.000000,7.000000 1.000000)"
0,0,36,191,18,19,1,0,0,1,0,0,0,0,Straight,0,80.5249,81.5249,1,"LINESTRING(7.000000 1.000000,8.000000 1.000000)"
0,0,37,221,19,29,1,0,0,1,0,0,0,0,Left,2.5,84.0249,85.0249,1,"LINESTRING(8.000000 1.000000,8.000000 2.000000)"
0,0,38,89,29,39,1,1,15,1,3.9976,3.9976,1,0,Straight,0,85.0249,89.0225,1,"LINESTRING(8.000000 2.000000,8.000000 3.000000)"
0,0,39,209,39,49,1,0,0,1,0,0,0,0,Straight,0,89.0225,90.0225,1,"LINESTRING(8.000000 3.000000,8.000000 4.000000)"
0,0,40,83,49,59,1,1,20,1,2.467,2.467,1,0,Straight,0,90.0225,92.4895,1,"LINESTRING(8.000000 4.000000,8.000000 5.000000)"
0,0,41,199,59,60,1,0,0,1,0,0,0,0,Right,0.5,92.9895,93.9895,1,"LINESTRING(8.000000 5.000000,9.000000 5.000000)"
0,0,42,59,60,70,1,1,10,1,3.3764,3.3764,1,0,Left,2.5,96.4895,99.8659,1,"LINESTRING(9.000000 5.000000,9.000000 6.000000)"
0,0,43,205,70,80,1,0,0,1,0,0,0,0,Straight,0,99.8659,100.866,1,"LINESTRING(9.000000 6.000000,9.000000 7.000000)"
0,0,44,226,80,79,1,0,0,1,0,0,0,0,Left,2.5,103.366,104.366,1,"LINESTRING(9.000000 7.000000,8.000000 7.000000)"
0,0,45,247,79,89,1,0,0,1,0,0,0,0,Right,0.5,104.866,105.866,1,"LINESTRING(8.000000 7.000000,8.000000 8.000000)"
0,0,46,77,89,90,1,1,5,1,2.9183,2.9183,1,0,Right,0.5,106.366,109.284,1,"LINESTRING(8.000000 8.000000,9.000000 8.000000)"
0,0,47,253,90,100,1,0,0,1,0,0,0,0,Left,2.5,111.784,112.784,1,"LINESTRING(9.000000 8.000000,9.000000 9.000000)"
0,1,0,254,100,99,1,0,0,1,0,0,0,15,None,0,127.784,128.784,1,"LINESTRING(9.000000 9.000000,8.000000 9.000000)"
0,1,1,250,99,98,1,0,0,1,0,0,0,0,Straight,0,128.784,129.784,1,"LINESTRING(8.000000 9.000000,7.000000 9.000000)"
0,1,2,70,98,97,1,1,5,1,2.3766,2.3766,0,0,Straight,0,129.784,130.784,1,"LINESTRING(7.000000 9.000000,6.000000 9.000000)"
0,1,3,66,97,87,1,1,5,1,2.1348,2.1348,0,0,Left,2.5,133.284,134.284,1,"LINESTRING(6.000000 9.000000,6.000000 8.000000)"
0,1,4,236,87,77,1,0,0,1,0,0,0,0,Straight,0,134.284,135.284,1,"LINESTRING(6.000000 8.000000,6.000000 7.000000)"
0,1,5,212,77,67,1,0,0,1,0,0,0,0,Straight,0,135.284,136.284,1,"LINESTRING(6.000000 7.000000,6.000000 6.000000)"
0,1,6,68,67,57,1,1,20,1,3.2353,3.2353,0,0,Straight,0,136.284,137.284,1,"LINESTRING(6.000000 6.000000,6.000000 5.000000)"
0,1,7,244,57,47,1,0,0,1,0,0,0,0,Straight,0,137.284,138.284,1,"LINESTRING(6.000000 5.000000,6.000000 4.000000)"
0,1,8,211,47,48,1,0,0,1,0,0,0,0,Left,2.5,140.784,141.784,1,"LINESTRING(6.000000 4.000000,7.000000 4.000000)"
0,1,9,61,48,49,1,1,15,1,3.9521,3.9521,0,0,Straight,0,141.784,142.784,1,"LINESTRING(7.000000 4.000000,8.000000 4.000000)"
0,1,10,208,49,39,1,0,0,1,0,0,0,0,Right,0.5,143.284,144.284,1,"LINESTRING(8.000000 4.000000,8.000000 3.000000)"
0,1,11,88,39,29,1,1,15,1,3.9976,3.9976,0,0,Straight,0,144.284,145.284,1,"LINESTRING(8.000000 3.000000,8.000000 2.000000)"
0,1,12,220,29,19,1,0,0,1,0,0,0,0,Straight,0,145.284,146.284,1,"LINESTRING(8.000000 2.000000,8.000000 1.000000)"
0,1,13,190,19,18,1,0,0,1,0,0,0,0,Right,0.5,146.784,147.784,1,"LINESTRING(8.000000 1.000000,7.000000 1.000000)"
0,1,14,202,18,17,1,0,0,1,0,0,0,0,Straight,0,147.784,148.784,1,"LINESTRING(7.000000 1.000000,6.000000 1.000000)"
0,1,15,96,17,16,1,0,0,1,0,0,0,0,Straight,0,148.784,149.784,1,"LINESTRING(6.000000 1.000000,5.000000 1.000000)"
0,1,16,165,16,26,1,0,0,1,0,0,0,0,Right,0.5,150.284,151.284,1,"LINESTRING(5.000000 1.000000,5.000000 2.000000)"
0,1,17,152,26,25,1,0,0,1,0,0,0,0,Left,2.5,153.784,154.784,1,"LINESTRING(5.000000 2.000000,4.000000 2.000000)"
0,1,18,33,25,35,1,1,15,1,2.6007,2.6007,0,0,Right,0.5,155.284,156.284,1,"LINESTRING(4.000000 2.000000,4.000000 3.000000)"
0,1,19,54,35,34,1,1,10,1,3.0643,3.0643,0,0,Left,2.5,158.784,159.784,1,"LINESTRING(4.000000 3.000000,3.000000 3.000000)"
0,1,20,94,34,33,1,0,0,1,0,0,0,0,Straight,0,159.784,160.784,1,"LINESTRING(3.000000 3.000000,2.000000 3.000000)"
0,1,21,17,33,43,1,1,5,1,2.6705,2.6705,0,0,Right,0.5,161.284,162.284,1,"LINESTRING(2.000000 3.000000,2.000000 4.000000)"
0,1,22,24,43,42,1,1,10,1,2.2899,2.2899,0,0,Left,2.5,164.784,165.784,1,"LINESTRING(2.000000 4.000000,1.000000 4.000000)"
0,1,23,104,42,41,1,0,0,1,0,0,0,0,Straight,0,165.784,166.784,1,"LINESTRING(1.000000 4.000000,0.000000 4.000000)"
0,1,24,10,41,31,1,1,20,1,2.5652,2.5652,0,0,Left,2.5,169.284,170.284,1,"LINESTRING(0.000000 4.000000,0.000000 3.000000)"
0,1,25,102,31,21,1,0,0,1,0,0,0,0,Straight,0,170.284,171.284,1,"LINESTRING(0.000000 3.000000,0.000000 2.000000)"
0,1,26,6,21,11,1,1,20,1,2.9237,2.9237,0,0,Straight,0,171.284,172.284,1,"LINESTRING(0.000000 2.000000,0.000000 1.000000)"
0,1,27,140,11,1,1,0,0,1,0,0,0,0,Straight,0,172.284,173.284,1,"LINESTRING(0.000000 1.000000,0.000000 0.000000)"
1,0,0,141,1,11,1,0,0,1,0,0,0,0,None,0,0,1,2,"LINESTRING(0.000000 0.000000,0.000000 1.000000)"
1,0,1,7,11,21,1,1,20,1,2.9237,2.9237,1,0,Straight,0,1,3.9237,2,"LINESTRING(0.000000 1.000000,0.000000 2.000000)"
1,0,2,103,21,31,1,0,0,1,0,0,0,0,Straight,0,3.9237,4.9237,2,"LINESTRING(0.000000 2.000000,0.000000 3.000000)"
1,0,3,129,31,32,1,0,0,1,0,0,0,0,Right,0.5,5.4237,6.4237,1,"LINESTRING(0.000000 3.000000,1.000000 3.000000)"
1,0,4,12,32,22,1,1,15,1,2.6003,2.6003,1,0,Right,0.5,6.9237,9.524,1,"LINESTRING(1.000000 3.000000,1.000000 2.000000)"
1,0,5,20,22,21,1,1,20,1,3.4076,3.4076,0,0,Right,0.5,10.024,11.024,1,"LINESTRING(1.000000 2.000000,0.000000 2.000000)"
