Problem Type,Solution Method,Clustering Method,Number of Vehicles,Max Route Time,Max Route Time wo Turns,Total Route Time,Total Route Time wo Turns,Avg Route Time,Avg Route Time wo Turns,Std Dev Route Time,Std Dev Route Time wo Turns,Min Route Time,Min Route Time wo Turns,Shortest Path Time(Sec),Balanced GP Time(Sec),Capacitated GP Time(Sec),Computational Time(Sec),VA(NHO),VA(ATD),VA(CCI),VA(DMT),VA(ROI),VA(AOI),Optimal,Lower Bound,MIP Gap
3,1,-1,2,652.521,324.999,1302.02,629.02,651.01,314.51,2.13723,14.8333,649.499,304.021,0.024,0,0,3600.46,0.851284,68.8645,1.09615,1169,2.22734,1.97281,0,697.851,0.00523169
Vehicle No,Load No,Sequence No,Arc,From Node,To Node,Is Edge,Required,Demand,Traveling Cost,Service Cost,Driver's Service Cost,Served,Dumped,Turn Type,Turn Cost,Depart Time,Arrival Time,Visit No,Shape
0,0,0,355,1,16,1,0,0,1,0,0,0,0,None,0,0,1,1,"LINESTRING(0.000000 0.000000,0.000000 1.000000)"
0,0,1,307,16,17,1,0,0,1,0,0,0,0,Right,0.5,1.5,2.5,1,"LINESTRING(0.000000 1.000000,1.000000 1.000000)"
0,0,2,252,17,2,1,0,0,1,0,0,0,0,Right,0.5,3,4,1,"LINESTRING(1.000000 1.000000,1.000000 0.000000)"
0,0,3,3,2,3,1,1,15,1,2.1215,2.1215,1,0,Left,2.5,6.5,8.6215,1,"LINESTRING(1.000000 0.000000,2.000000 0.000000)"
0,0,4,273,3,4,1,0,0,1,0,0,0,0,Straight,0,8.6215,9.6215,1,"LINESTRING(2.000000 0.000000,3.000000 0.000000)"
0,0,5,43,4,5,1,1,5,1,3.4278,3.4278,1,0,Straight,0,9.6215,13.0493,1,"LINESTRING(3.000000 0.000000,4.000000 0.000000)"
0,0,6,331,5,6,1,0,0,1,0,0,0,0,Straight,0,13.0493,14.0493,1,"LINESTRING(4.000000 0.000000,5.000000 0.000000)"
0,0,7,9,6,21,1,1,10,1,3.6019,3.6019,1,0,Left,2.5,16.5493,20.1512,1,"LINESTRING(5.000000 0.000000,5.000000 1.000000)"
0,0,8,69,21,22,1,1,5,1,2.7118,2.7118,1,0,Right,0.5,20.6512,23.363,1,"LINESTRING(5.000000 1.000000,6.000000 1.000000)"
0,0,9,68,22,21,1,1,5,1,2.7118,2.7118,0,0,U,12.5,35.863,36.863,1,"LINESTRING(6.000000 1.000000,5.000000 1.000000)"
0,0,10,41,21,36,1,1,15,1,3.5375,3.5375,1,0,Right,0.5,37.363,40.9005,1,"LINESTRING(5.000000 1.000000,5.000000 2.000000)"
0,0,11,280,36,35,1,0,0,1,0,0,0,0,Left,2.5,43.4005,44.4005,1,"LINESTRING(5.000000 2.000000,4.000000 2.000000)"
0,0,12,353,35,50,1,0,0,1,0,0,0,0,Right,0.5,44.9005,45.9005,1,"LINESTRING(4.000000 2.000000,4.000000 3.000000)"
0,0,13,349,50,51,1,0,0,1,0,0,0,0,Right,0.5,46.4005,47.4005,1,"LINESTRING(4.000000 3.000000,5.000000 3.000000)"
0,0,14,267,51,66,1,0,0,1,0,0,0,0,Left,2.5,49.9005,50.9005,1,"LINESTRING(5.000000 3.000000,5.000000 4.000000)"
0,0,15,29,66,81,1,1,15,1,2.5047,2.5047,1,0,Straight,0,50.9005,53.4052,1,"LINESTRING(5.000000 4.000000,5.000000 5.000000)"
0,0,16,19,81,96,1,1,20,1,2.24,2.24,1,0,Straight,0,53.4052,55.6452,1,"LINESTRING(5.000000 5.000000,5.000000 6.000000)"
0,0,17,18,96,81,1,1,20,1,2.24,2.24,0,0,U,12.5,68.1452,69.1452,1,"LINESTRING(5.000000 6.000000,5.000000 5.000000)"
0,0,18,308,81,80,1,0,0,1,0,0,0,0,Right,0.5,69.6452,70.6452,1,"LINESTRING(5.000000 5.000000,4.000000 5.000000)"
0,0,19,101,80,95,1,1,10,1,3.8154,3.8154,1,0,Right,0.5,71.1452,74.9606,1,"LINESTRING(4.000000 5.000000,4.000000 6.000000)"
0,0,20,343,95,110,1,0,0,1,0,0,0,0,Straight,0,74.9606,75.9606,1,"LINESTRING(4.000000 6.000000,4.000000 7.000000)"
0,0,21,297,110,125,1,0,0,1,0,0,0,0,Straight,0,75.9606,76.9606,1,"LINESTRING(4.000000 7.000000,4.000000 8.000000)"
0,0,22,213,125,126,1,0,0,1,0,0,0,0,Right,0.5,77.4606,78.4606,1,"LINESTRING(4.000000 8.000000,5.000000 8.000000)"
0,0,23,38,126,111,1,1,5,1,2.3766,2.3766,1,0,Right,0.5,78.9606,81.3372,1,"LINESTRING(5.000000 8.000000,5.000000 7.000000)"
0,0,24,39,111,126,1,1,5,1,2.3766,2.3766,0,0,U,12.5,93.8372,94.8372,1,"LINESTRING(5.000000 7.000000,5.000000 8.000000)"
0,0,25,212,126,125,1,0,0,1,0,0,0,0,Left,2.5,97.3372,98.3372,1,"LINESTRING(5.000000 8.000000,4.000000 8.000000)"
0,0,26,57,125,140,1,1,10,1,2.7781,2.7781,1,0,Right,0.5,98.8372,101.615,1,"LINESTRING(4.000000 8.000000,4.000000 9.000000)"
0,0,27,251,140,141,1,0,0,1,0,0,0,0,Right,0.5,102.115,103.115,1,"LINESTRING(4.000000 9.000000,5.000000 9.000000)"
0,0,28,25,141,142,1,1,5,1,2.1123,2.1123,1,0,Straight,0,103.115,105.228,1,"LINESTRING(5.000000 9.000000,6.000000 9.000000)"
