Problem Type,Solution Method,Clustering Method,Number of Vehicles,Max Route Time,Max Route Time wo Turns,Total Route Time,Total Route Time wo Turns,Avg Route Time,Avg Route Time wo Turns,Std Dev Route Time,Std Dev Route Time wo Turns,Min Route Time,Min Route Time wo Turns,Shortest Path Time(Sec),Balanced GP Time(Sec),Capacitated GP Time(Sec),Computational Time(Sec),VA(NHO),VA(ATD),VA(CCI),VA(DMT),VA(ROI),VA(AOI),Optimal,Lower Bound,MIP Gap
3,1,-1,2,85.0995,59.4348,168.534,114.034,84.2672,57.0172,1.17712,3.41907,83.4348,54.5995,0.003,0,0,2.158,0,0,2,0,0.714286,0.131723,1,88.0995,0
Vehicle No,Load No,Sequence No,Arc,From Node,To Node,Is Edge,Required,Demand,Traveling Cost,Service Cost,Driver's Service Cost,Served,Dumped,Turn Type,Turn Cost,Depart Time,Arrival Time,Visit No,Shape
0,0,0,19,1,6,1,0,0,1,0,0,0,0,None,0,0,1,1,"LINESTRING(0.000000 0.000000,0.000000 1.000000)"
0,0,1,29,6,11,1,0,0,1,0,0,0,0,Straight,0,1,2,1,"LINESTRING(0.000000 1.000000,0.000000 2.000000)"
0,0,2,33,11,16,1,0,0,1,0,0,0,0,Straight,0,2,3,1,"LINESTRING(0.000000 2.000000,0.000000 3.000000)"
0,0,3,5,16,17,1,1,20,1,2.9561,2.9561,1,0,Right,0.5,3.5,6.4561,1,"LINESTRING(0.000000 3.000000,1.000000 3.000000)"
0,0,4,0,17,12,1,1,15,1,2.7871,2.7871,0,0,Right,0.5,6.9561,7.9561,1,"LINESTRING(1.000000 3.000000,1.000000 2.000000)"
0,0,5,13,12,13,1,0,0,1,0,0,0,0,Left,2.5,10.4561,11.4561,1,"LINESTRING(1.000000 2.000000,2.000000 2.000000)"
0,0,6,7,13,18,1,1,5,1,3.508,3.508,0,0,Left,2.5,13.9561,14.9561,1,"LINESTRING(2.000000 2.000000,2.000000 3.000000)"
0,0,7,39,18,23,1,0,0,1,0,0,0,0,Straight,0,14.9561,15.9561,1,"LINESTRING(2.000000 3.000000,2.000000 4.000000)"
0,0,8,35,23,24,1,0,0,1,0,0,0,0,Right,0.5,16.4561,17.4561,1,"LINESTRING(2.000000 4.000000,3.000000 4.000000)"
0,0,9,23,24,25,1,0,0,1,0,0,0,0,Straight,0,17.4561,18.4561,1,"LINESTRING(3.000000 4.000000,4.000000 4.000000)"
0,1,0,22,25,24,1,0,0,1,0,0,0,10.4,None,0,28.8561,29.8561,1,"LINESTRING(4.000000 4.000000,3.000000 4.000000)"
0,1,1,34,24,23,1,0,0,1,0,0,0,0,Straight,0,29.8561,30.8561,1,"LINESTRING(3.000000 4.000000,2.000000 4.000000)"
0,1,2,38,23,18,1,0,0,1,0,0,0,0,Left,2.5,33.3561,34.3561,1,"LINESTRING(2.000000 4.000000,2.000000 3.000000)"
0,1,3,6,18,13,1,1,5,1,3.508,3.508,0,0,Straight,0,34.3561,35.3561,1,"LINESTRING(2.000000 3.000000,2.000000 2.000000)"
0,1,4,10,13,8,1,1,10,1,2.3354,2.3354,1,0,Straight,0,35.3561,37.6915,1,"LINESTRING(2.000000 2.000000,2.000000 1.000000)"
0,1,5,11,8,13,1,1,10,1,2.3354,2.3354,0,0,U,12.5,50.1915,51.1915,1,"LINESTRING(2.000000 1.000000,2.000000 2.000000)"
0,1,6,7,13,18,1,1,5,1,3.508,3.508,1,0,Straight,0,51.1915,54.6995,2,"LINESTRING(2.000000 2.000000,2.000000 3.000000)"
0,1,7,39,18,23,1,0,0,1,0,0,0,0,Straight,0,54.6995,55.6995,2,"LINESTRING(2.000000 3.000000,2.000000 4.000000)"
0,1,8,35,23,24,1,0,0,1,0,0,0,0,Right,0.5,56.1995,57.1995,2,"LINESTRING(2.000000 4.000000,3.000000 4.000000)"
0,1,9,23,24,25,1,0,0,1,0,0,0,0,Straight,0,57.1995,58.1995,2,"LINESTRING(3.000000 4.000000,4.000000 4.000000)"
0,2,0,22,25,24,1,0,0,1,0,0,0,10.4,None,0,68.5995,69.5995,2,"LINESTRING(4.000000 4.000000,3.000000 4.000000)"
