Problem Type,Solution Method,Clustering Method,Number of Vehicles,Max Route Time,Max Route Time wo Turns,Total Route Time,Total Route Time wo Turns,Avg Route Time,Avg Route Time wo Turns,Std Dev Route Time,Std Dev Route Time wo Turns,Min Route Time,Min Route Time wo Turns,Shortest Path Time(Sec),Balanced GP Time(Sec),Capacitated GP Time(Sec),Computational Time(Sec),VA(NHO),VA(ATD),VA(CCI),VA(DMT),VA(ROI),VA(AOI),Optimal,Lower Bound,MIP Gap
3,1,-1,2,81.2893,52.6126,160.902,99.9019,80.451,49.951,1.18561,3.76414,79.6126,47.2893,0.003,0,0,1.396,0.241577,13.2063,1,17,0.756067,0.615283,1,85.2893,0
Vehicle No,Load No,Sequence No,Arc,From Node,To Node,Is Edge,Required,Demand,Traveling Cost,Service Cost,Driver's Service Cost,Served,Dumped,Turn Type,Turn Cost,Depart Time,Arrival Time,Visit No,Shape
0,0,0,21,1,2,1,0,0,1,0,0,0,0,None,0,0,1,1,"LINESTRING(0.000000 0.000000,1.000000 0.000000)"
0,0,1,5,2,3,1,1,5,1,2.2273,2.2273,0,0,Straight,0,1,2,1,"LINESTRING(1.000000 0.000000,2.000000 0.000000)"
0,0,2,4,3,2,1,1,5,1,2.2273,2.2273,1,0,U,12.5,14.5,16.7273,1,"LINESTRING(2.000000 0.000000,1.000000 0.000000)"
0,0,3,20,2,1,1,0,0,1,0,0,0,0,Straight,0,16.7273,17.7273,1,"LINESTRING(1.000000 0.000000,0.000000 0.000000)"
0,0,4,23,1,6,1,0,0,1,0,0,0,0,Right,0.5,18.2273,19.2273,1,"LINESTRING(0.000000 0.000000,0.000000 1.000000)"
0,0,5,47,6,11,1,0,0,1,0,0,0,0,Straight,0,19.2273,20.2273,1,"LINESTRING(0.000000 1.000000,0.000000 2.000000)"
0,0,6,43,11,16,1,0,0,1,0,0,0,0,Straight,0,20.2273,21.2273,1,"LINESTRING(0.000000 2.000000,0.000000 3.000000)"
0,0,7,31,16,21,1,0,0,1,0,0,0,0,Straight,0,21.2273,22.2273,1,"LINESTRING(0.000000 3.000000,0.000000 4.000000)"
0,0,8,9,21,22,1,1,5,1,2.387,2.387,1,0,Right,0.5,22.7273,25.1143,1,"LINESTRING(0.000000 4.000000,1.000000 4.000000)"
0,0,9,34,22,17,1,0,0,1,0,0,0,0,Right,0.5,25.6143,26.6143,1,"LINESTRING(1.000000 4.000000,1.000000 3.000000)"
0,0,10,11,17,18,1,1,15,1,3.4367,3.4367,1,0,Left,2.5,29.1143,32.551,1,"LINESTRING(1.000000 3.000000,2.000000 3.000000)"
0,0,11,0,18,13,1,1,10,1,3.49,3.49,1,0,Right,0.5,33.051,36.541,1,"LINESTRING(2.000000 3.000000,2.000000 2.000000)"
0,0,12,40,13,8,1,0,0,1,0,0,0,0,Straight,0,36.541,37.541,1,"LINESTRING(2.000000 2.000000,2.000000 1.000000)"
0,0,13,36,8,7,1,0,0,1,0,0,0,0,Right,0.5,38.041,39.041,1,"LINESTRING(2.000000 1.000000,1.000000 1.000000)"
0,0,14,2,7,6,1,1,5,1,2.9975,2.9975,0,0,Straight,0,39.041,40.041,1,"LINESTRING(1.000000 1.000000,0.000000 1.000000)"
0,0,15,47,6,11,1,0,0,1,0,0,0,0,Right,0.5,40.541,41.541,2,"LINESTRING(0.000000 1.000000,0.000000 2.000000)"
0,0,16,33,11,12,1,0,0,1,0,0,0,0,Right,0.5,42.041,43.041,1,"LINESTRING(0.000000 2.000000,1.000000 2.000000)"
0,0,17,7,12,13,1,1,15,1,2.1716,2.1716,1,0,Straight,0,43.041,45.2126,1,"LINESTRING(1.000000 2.000000,2.000000 2.000000)"
0,0,18,19,13,14,1,0,0,1,0,0,0,0,Straight,0,45.2126,46.2126,1,"LINESTRING(2.000000 2.000000,3.000000 2.000000)"
0,0,19,53,14,19,1,0,0,1,0,0,0,0,Left,2.5,48.7126,49.7126,1,"LINESTRING(3.000000 2.000000,3.000000 3.000000)"
0,0,20,51,19,24,1,0,0,1,0,0,0,0,Straight,0,49.7126,50.7126,1,"LINESTRING(3.000000 3.000000,3.000000 4.000000)"
