Problem Type,Solution Method,Clustering Method,Number of Vehicles,Max Route Time,Max Route Time wo Turns,Total Route Time,Total Route Time wo Turns,Avg Route Time,Avg Route Time wo Turns,Std Dev Route Time,Std Dev Route Time wo Turns,Min Route Time,Min Route Time wo Turns,Shortest Path Time(Sec),Balanced GP Time(Sec),Capacitated GP Time(Sec),Computational Time(Sec),VA(NHO),VA(ATD),VA(CCI),VA(DMT),VA(ROI),VA(AOI),Optimal,Lower Bound,MIP Gap
3,1,-1,2,115.534,75.8043,229.838,139.838,114.919,69.919,0.869246,8.32314,114.304,64.0336,0.002,0,0,3.897,0,29.3333,1,11,0.686031,0.219539,1,118.534,0
Vehicle No,Load No,Sequence No,Arc,From Node,To Node,Is Edge,Required,Demand,Traveling Cost,Service Cost,Driver's Service Cost,Served,Dumped,Turn Type,Turn Cost,Depart Time,Arrival Time,Visit No,Shape
0,0,0,19,1,6,1,0,0,1,0,0,0,0,None,0,0,1,1,"LINESTRING(0.000000 0.000000,0.000000 1.000000)"
0,0,1,31,6,7,1,0,0,1,0,0,0,0,Right,0.5,1.5,2.5,1,"LINESTRING(0.000000 1.000000,1.000000 1.000000)"
0,0,2,27,7,12,1,0,0,1,0,0,0,0,Left,2.5,5,6,1,"LINESTRING(1.000000 1.000000,1.000000 2.000000)"
0,0,3,25,12,17,1,0,0,1,0,0,0,0,Straight,0,6,7,1,"LINESTRING(1.000000 2.000000,1.000000 3.000000)"
0,0,4,28,17,16,1,0,0,1,0,0,0,0,Left,2.5,9.5,10.5,1,"LINESTRING(1.000000 3.000000,0.000000 3.000000)"
0,0,5,3,16,21,1,1,15,1,3.7014,3.7014,0,0,Right,0.5,11,12,1,"LINESTRING(0.000000 3.000000,0.000000 4.000000)"
0,0,6,33,21,22,1,0,0,1,0,0,0,0,Right,0.5,12.5,13.5,1,"LINESTRING(0.000000 4.000000,1.000000 4.000000)"
0,0,7,4,22,17,1,1,10,1,3.6427,3.6427,1,0,Right,0.5,14,17.6427,1,"LINESTRING(1.000000 4.000000,1.000000 3.000000)"
0,0,8,24,17,12,1,0,0,1,0,0,0,0,Straight,0,17.6427,18.6427,1,"LINESTRING(1.000000 3.000000,1.000000 2.000000)"
0,0,9,26,12,7,1,0,0,1,0,0,0,0,Straight,0,18.6427,19.6427,1,"LINESTRING(1.000000 2.000000,1.000000 1.000000)"
0,0,10,30,7,6,1,0,0,1,0,0,0,0,Right,0.5,20.1427,21.1427,1,"LINESTRING(1.000000 1.000000,0.000000 1.000000)"
0,0,11,18,6,1,1,0,0,1,0,0,0,0,Left,2.5,23.6427,24.6427,1,"LINESTRING(0.000000 1.000000,0.000000 0.000000)"
0,0,12,17,1,2,1,0,0,1,0,0,0,0,Left,2.5,27.1427,28.1427,1,"LINESTRING(0.000000 0.000000,1.000000 0.000000)"
0,0,13,13,2,3,1,0,0,1,0,0,0,0,Straight,0,28.1427,29.1427,1,"LINESTRING(1.000000 0.000000,2.000000 0.000000)"
0,0,14,9,3,4,1,1,15,1,3.8396,3.8396,0,0,Straight,0,29.1427,30.1427,1,"LINESTRING(2.000000 0.000000,3.000000 0.000000)"
0,0,15,35,4,9,1,0,0,1,0,0,0,0,Left,2.5,32.6427,33.6427,1,"LINESTRING(3.000000 0.000000,3.000000 1.000000)"
0,0,16,38,9,8,1,0,0,1,0,0,0,0,Left,2.5,36.1427,37.1427,1,"LINESTRING(3.000000 1.000000,2.000000 1.000000)"
0,0,17,7,8,13,1,1,10,1,2.6128,2.6128,0,0,Right,0.5,37.6427,38.6427,1,"LINESTRING(2.000000 1.000000,2.000000 2.000000)"
0,0,18,6,13,8,1,1,10,1,2.6128,2.6128,1,0,U,12.5,51.1427,53.7555,1,"LINESTRING(2.000000 2.000000,2.000000 1.000000)"
0,0,19,39,8,9,1,0,0,1,0,0,0,0,Left,2.5,56.2555,57.2555,1,"LINESTRING(2.000000 1.000000,3.000000 1.000000)"
0,0,20,45,9,14,1,0,0,1,0,0,0,0,Left,2.5,59.7555,60.7555,1,"LINESTRING(3.000000 1.000000,3.000000 2.000000)"
0,0,21,41,14,19,1,0,0,1,0,0,0,0,Straight,0,60.7555,61.7555,1,"LINESTRING(3.000000 2.000000,3.000000 3.000000)"
0,0,22,43,19,24,1,0,0,1,0,0,0,0,Straight,0,61.7555,62.7555,1,"LINESTRING(3.000000 3.000000,3.000000 4.000000)"
0,0,23,23,24,25,1,0,0,1,0,0,0,0,Right,0.5,63.2555,64.2555,1,"LINESTRING(3.000000 4.000000,4.000000 4.000000)"
0,1,0,22,25,24,1,0,0,1,0,0,0,10.8,None,0,75.0555,76.0555,1,"LINESTRING(4.000000 4.000000,3.000000 4.000000)"
0,1,1,10,24,23,1,1,5,1,3.1781,3.1781,1,0,Straight,0,76.0555,79.2336,1,"LINESTRING(3.000000 4.000000,2.000000 4.000000)"
0,1,2,11,23,24,1,1,5,1,3.1781,3.1781,0,0,U,12.5,91.7336,92.7336,1,"LINESTRING(2.000000 4.000000,3.000000 4.000000)"
0,1,3,23,24,25,1,0,0,1,0,0,0,0,Straight,0,92.7336,93.7336,2,"LINESTRING(3.000000 4.000000,4.000000 4.000000)"
0,2,0,22,25,24,1,0,0,1,0,0,0,10.8,None,0,104.534,105.534,2,"LINESTRING(4.000000 4.000000,3.000000 4.000000)"
0,2,1,42,24,19,1,0,0,1,0,0,0,0,Left,2.5,108.034,109.034,1,"LINESTRING(3.000000 4.000000,3.000000 3.000000)"
0,2,2,40,19,14,1,0,0,1,0,0,0,0,Straight,0,109.034,110.034,1,"LINESTRING(3.000000 3.000000,3.000000 2.000000)"
0,2,3,44,14,9,1,0,0,1,0,0,0,0,Straight,0,110.034,111.034,1,"LINESTRING(3.000000 2.000000,3.000000 1.000000)"
0,2,4,34,9,4,1,0,0,1,0,0,0,0,Straight,0,111.034,112.034,1,"LINESTRING(3.000000 1.000000,3.000000 0.000000)"
0,2,5,8,4,3,1,1,15,1,3.8396,3.8396,0,0,Right,0.5,112.534,113.534,1,"LINESTRING(3.000000 0.000000,2.000000 0.000000)"
0,2,6,12,3,2,1,0,0,1,0,0,0,0,Straight,0,113.534,114.534,1,"LINESTRING(2.000000 0.000000,1.000000 0.000000)"
0,2,7,16,2,1,1,0,0,1,0,0,0,0,Straight,0,114.534,115.534,1,"LINESTRING(1.000000 0.000000,0.000000 0.000000)"
1,0,0,17,1,2,1,0,0,1,0,0,0,0,None,0,0,1,2,"LINESTRING(0.000000 0.000000,1.000000 0.000000)"
1,0,1,13,2,3,1,0,0,1,0,0,0,0,Straight,0,1,2,2,"LINESTRING(1.000000 0.000000,2.000000 0.000000)"
1,0,2,9,3,4,1,1,15,1,3.8396,3.8396,1,0,Straight,0,2,5.8396,2,"LINESTRING(2.000000 0.000000,3.000000 0.000000)"
1,0,3,35,4,9,1,0,0,1,0,0,0,0,Left,2.5,8.3396,9.3396,2,"LINESTRING(3.000000 0.000000,3.000000 1.000000)"
1,0,4,45,9,14,1,0,0,1,0,0,0,0,Straight,0,9.3396,10.3396,2,"LINESTRING(3.000000 1.000000,3.000000 2.000000)"
1,0,5,41,14,19,1,0,0,1,0,0,0,0,Straight,0,10.3396,11.3396,2,"LINESTRING(3.000000 2.000000,3.000000 3.000000)"
1,0,6,43,19,24,1,0,0,1,0,0,0,0,Straight,0,11.3396,12.3396,2,"LINESTRING(3.000000 3.000000,3.000000 4.000000)"
1,0,7,23,24,25,1,0,0,1,0,0,0,0,Right,0.5,12.8396,13.8396,3,"LINESTRING(3.000000 4.000000,4.000000 4.000000)"
1,1,0,22,25,24,1,0,0,1,0,0,0,10.8,None,0,24.6396,25.6396,3,"LINESTRING(4.000000 4.000000,3.000000 4.000000)"
1,1,1,42,24,19,1,0,0,1,0,0,0,0,Left,2.5,28.1396,29.1396,2,"LINESTRING(3.000000 4.000000,3.000000 3.000000)"
1,1,2,40,19,14,1,0,0,1,0,0,0,0,Straight,0,29.1396,30.1396,2,"LINESTRING(3.000000 3.000000,3.000000 2.000000)"
1,1,3,44,14,9,1,0,0,1,0,0,0,0,Straight,0,30.1396,31.1396,2,"LINESTRING(3.000000 2.000000,3.000000 1.000000)"
1,1,4,34,9,4,1,0,0,1,0,0,0,0,Straight,0,31.1396,32.1396,2,"LINESTRING(3.000000 1.000000,3.000000 0.000000)"
1,1,5,8,4,3,1,1,15,1,3.8396,3.8396,0,0,Right,0.5,32.6396,33.6396,2,"LINESTRING(3.000000 0.000000,2.000000 0.000000)"
1,1,6,12,3,2,1,0,0,1,0,0,0,0,Straight,0,33.6396,34.6396,2,"LINESTRING(2.000000 0.000000,1.000000 0.000000)"
1,1,7,16,2,1,1,0,0,1,0,0,0,0,Straight,0,34.6396,35.6396,2,"LINESTRING(1.000000 0.000000,0.000000 0.000000)"
1,1,8,19,1,6,1,0,0,1,0,0,0,0,Right,0.5,36.1396,37.1396,2,"LINESTRING(0.000000 0.000000,0.000000 1.000000)"
1,1,9,31,6,7,1,0,0,1,0,0,0,0,Right,0.5,37.6396,38.6396,2,"LINESTRING(0.000000 1.000000,1.000000 1.000000)"
1,1,10,27,7,12,1,0,0,1,0,0,0,0,Left,2.5,41.1396,42.1396,2,"LINESTRING(1.000000 1.000000,1.000000 2.000000)"
1,1,11,25,12,17,1,0,0,1,0,0,0,0,Straight,0,42.1396,43.1396,2,"LINESTRING(1.000000 2.000000,1.000000 3.000000)"
1,1,12,28,17,16,1,0,0,1,0,0,0,0,Left,2.5,45.6396,46.6396,2,"LINESTRING(1.000000 3.000000,0.000000 3.000000)"
1,1,13,3,16,21,1,1,15,1,3.7014,3.7014,1,0,Right,0.5,47.1396,50.841,2,"LINESTRING(0.000000 3.000000,0.000000 4.000000)"
1,1,14,33,21,22,1,0,0,1,0,0,0,0,Right,0.5,51.341,52.341,2,"LINESTRING(0.000000 4.000000,1.000000 4.000000)"
1,1,15,4,22,17,1,1,10,1,3.6427,3.6427,0,0,Right,0.5,52.841,53.841,2,"LINESTRING(1.000000 4.000000,1.000000 3.000000)"
1,1,16,24,17,12,1,0,0,1,0,0,0,0,Straight,0,53.841,54.841,2,"LINESTRING(1.000000 3.000000,1.000000 2.000000)"
1,1,17,0,12,11,1,1,5,1,3.6633,3.6633,0,0,Right,0.5,55.341,56.341,1,"LINESTRING(1.000000 2.000000,0.000000 2.000000)"
1,1,18,1,11,12,1,1,5,1,3.6633,3.6633,1,0,U,12.5,68.841,72.5043,1,"LINESTRING(0.000000 2.000000,1.000000 2.000000)"
1,1,19,26,12,7,1,0,0,1,0,0,0,0,Right,0.5,73.0043,74.0043,2,"LINESTRING(1.000000 2.000000,1.000000 1.000000)"
1,1,20,30,7,6,1,0,0,1,0,0,0,0,Right,0.5,74.5043,75.5043,2,"LINESTRING(1.000000 1.000000,0.000000 1.000000)"
1,1,21,18,6,1,1,0,0,1,0,0,0,0,Left,2.5,78.0043,79.0043,2,"LINESTRING(0.000000 1.000000,0.000000 0.000000)"
1,1,22,17,1,2,1,0,0,1,0,0,0,0,Left,2.5,81.5043,82.5043,3,"LINESTRING(0.000000 0.000000,1.000000 0.000000)"
1,1,23,13,2,3,1,0,0,1,0,0,0,0,Straight,0,82.5043,83.5043,3,"LINESTRING(1.000000 0.000000,2.000000 0.000000)"
1,1,24,9,3,4,1,1,15,1,3.8396,3.8396,0,0,Straight,0,83.5043,84.5043,3,"LINESTRING(2.000000 0.000000,3.000000 0.000000)"
1,1,25,35,4,9,1,0,0,1,0,0,0,0,Left,2.5,87.0043,88.0043,3,"LINESTRING(3.000000 0.000000,3.000000 1.000000)"
1,1,26,45,9,14,1,0,0,1,0,0,0,0,Straight,0,88.0043,89.0043,3,"LINESTRING(3.000000 1.000000,3.000000 2.000000)"
1,1,27,41,14,19,1,0,0,1,0,0,0,0,Straight,0,89.0043,90.0043,3,"LINESTRING(3.000000 2.000000,3.000000 3.000000)"
1,1,28,43,19,24,1,0,0,1,0,0,0,0,Straight,0,90.0043,91.0043,3,"LINESTRING(3.000000 3.000000,3.000000 4.000000)"
1,1,29,23,24,25,1,0,0,1,0,0,0,0,Right,0.5,91.5043,92.5043,4,"LINESTRING(3.000000 4.000000,4.000000 4.000000)"
1,2,0,22,25,24,1,0,0,1,0,0,0,10.8,None,0,103.304,104.304,4,"LINESTRING(4.000000 4.000000,3.000000 4.000000)"
1,2,1,42,24,19,1,0,0,1,0,0,0,0,Left,2.5,106.804,107.804,3,"LINESTRING(3.000000 4.000000,3.000000 3.000000)"
1,2,2,40,19,14,1,0,0,1,0,0,0,0,Straight,0,107.804,108.804,3,"LINESTRING(3.000000 3.000000,3.000000 2.000000)"
1,2,3,44,14,9,1,0,0,1,0,0,0,0,Straight,0,108.804,109.804,3,"LINESTRING(3.000000 2.000000,3.000000 1.000000)"
1,2,4,34,9,4,1,0,0,1,0,0,0,0,Straight,0,109.804,110.804,3,"LINESTRING(3.000000 1.000000,3.000000 0.000000)"
1,2,5,8,4,3,1,1,15,1,3.8396,3.8396,0,0,Right,0.5,111.304,112.304,3,"LINESTRING(3.000000 0.000000,2.000000 0.000000)"
1,2,6,12,3,2,1,0,0,1,0,0,0,0,Straight,0,112.304,113.304,3,"LINESTRING(2.000000 0.000000,1.000000 0.000000)"
1,2,7,16,2,1,1,0,0,1,0,0,0,0,Straight,0,113.304,114.304,3,"LINESTRING(1.000000 0.000000,0.000000 0.000000)"
