Problem Type,Solution Method,Clustering Method,Number of Vehicles,Max Route Time,Max Route Time wo Turns,Total Route Time,Total Route Time wo Turns,Avg Route Time,Avg Route Time wo Turns,Std Dev Route Time,Std Dev Route Time wo Turns,Min Route Time,Min Route Time wo Turns,Shortest Path Time(Sec),Balanced GP Time(Sec),Capacitated GP Time(Sec),Computational Time(Sec),VA(NHO),VA(ATD),VA(CCI),VA(DMT),VA(ROI),VA(AOI),Optimal,Lower Bound,MIP Gap
3,1,-1,2,74.172,55.172,142.436,97.436,71.218,48.718,4.17759,9.12733,68.264,42.264,0.002,0,0,0.98,0,22.6667,1.2,10,0.859876,0.164952,1,77.172,0
Vehicle No,Load No,Sequence No,Arc,From Node,To Node,Is Edge,Required,Demand,Traveling Cost,Service Cost,Driver's Service Cost,Served,Dumped,Turn Type,Turn Cost,Depart Time,Arrival Time,Visit No,Shape
0,0,0,19,1,6,1,0,0,1,0,0,0,0,None,0,0,1,1,"LINESTRING(0.000000 0.000000,0.000000 1.000000)"
0,0,1,3,6,7,1,1,5,1,3.0014,3.0014,1,0,Right,0.5,1.5,4.5014,1,"LINESTRING(0.000000 1.000000,1.000000 1.000000)"
0,0,2,33,7,12,1,0,0,1,0,0,0,0,Left,2.5,7.0014,8.0014,1,"LINESTRING(1.000000 1.000000,1.000000 2.000000)"
0,0,3,31,12,17,1,0,0,1,0,0,0,0,Straight,0,8.0014,9.0014,1,"LINESTRING(1.000000 2.000000,1.000000 3.000000)"
0,0,4,27,17,22,1,0,0,1,0,0,0,0,Straight,0,9.0014,10.0014,1,"LINESTRING(1.000000 3.000000,1.000000 4.000000)"
0,0,5,13,22,23,1,0,0,1,0,0,0,0,Right,0.5,10.5014,11.5014,1,"LINESTRING(1.000000 4.000000,2.000000 4.000000)"
0,0,6,7,23,24,1,1,5,1,2.8461,2.8461,0,0,Straight,0,11.5014,12.5014,1,"LINESTRING(2.000000 4.000000,3.000000 4.000000)"
0,0,7,8,24,19,1,1,5,1,3.7323,3.7323,1,0,Right,0.5,13.0014,16.7337,1,"LINESTRING(3.000000 4.000000,3.000000 3.000000)"
0,0,8,34,19,18,1,0,0,1,0,0,0,0,Right,0.5,17.2337,18.2337,1,"LINESTRING(3.000000 3.000000,2.000000 3.000000)"
0,0,9,44,18,13,1,0,0,1,0,0,0,0,Left,2.5,20.7337,21.7337,1,"LINESTRING(2.000000 3.000000,2.000000 2.000000)"
0,0,10,40,13,8,1,0,0,1,0,0,0,0,Straight,0,21.7337,22.7337,1,"LINESTRING(2.000000 2.000000,2.000000 1.000000)"
0,0,11,11,8,9,1,1,10,1,2.5303,2.5303,0,0,Left,2.5,25.2337,26.2337,1,"LINESTRING(2.000000 1.000000,3.000000 1.000000)"
0,0,12,10,9,8,1,1,10,1,2.5303,2.5303,1,0,U,12.5,38.7337,41.264,1,"LINESTRING(3.000000 1.000000,2.000000 1.000000)"
0,0,13,41,8,13,1,0,0,1,0,0,0,0,Right,0.5,41.764,42.764,1,"LINESTRING(2.000000 1.000000,2.000000 2.000000)"
0,0,14,45,13,18,1,0,0,1,0,0,0,0,Straight,0,42.764,43.764,1,"LINESTRING(2.000000 2.000000,2.000000 3.000000)"
0,0,15,39,18,23,1,0,0,1,0,0,0,0,Straight,0,43.764,44.764,1,"LINESTRING(2.000000 3.000000,2.000000 4.000000)"
0,0,16,7,23,24,1,1,5,1,2.8461,2.8461,0,0,Right,0.5,45.264,46.264,2,"LINESTRING(2.000000 4.000000,3.000000 4.000000)"
0,0,17,23,24,25,1,0,0,1,0,0,0,0,Straight,0,46.264,47.264,1,"LINESTRING(3.000000 4.000000,4.000000 4.000000)"
0,1,0,22,25,24,1,0,0,1,0,0,0,10,None,0,57.264,58.264,1,"LINESTRING(4.000000 4.000000,3.000000 4.000000)"
0,1,1,6,24,23,1,1,5,1,2.8461,2.8461,0,0,Straight,0,58.264,59.264,1,"LINESTRING(3.000000 4.000000,2.000000 4.000000)"
0,1,2,12,23,22,1,0,0,1,0,0,0,0,Straight,0,59.264,60.264,1,"LINESTRING(2.000000 4.000000,1.000000 4.000000)"
0,1,3,26,22,17,1,0,0,1,0,0,0,0,Left,2.5,62.764,63.764,1,"LINESTRING(1.000000 4.000000,1.000000 3.000000)"
