Problem Type,Multi Vehicle Solution Method,Multi Vehicle Clustering Method,Single Vehicle Solution Method,Single Vehicle Clustering Method,Number of Vehicles,Max Route Time,Max Route Time wo Turns,Total Route Time,Total Route Time wo Turns,Avg Route Time,Avg Route Time wo Turns,Std Dev Route Time,Std Dev Route Time wo Turns,Min Route Time,Min Route Time wo Turns,Range Route Time,Range Route Time wo Turns,Shortest Path Time(Sec),Balanced GP Time(Sec),Capacitated GP Time(Sec),Computational Time(Sec),VA(NHO),VA(ATD),VA(CCI),VA(DMT),VA(ROI),VA(AOI),Optimal,Lower Bound,MIP Gap
1,1,0,1,11,4,34645.4,27965.4,129329,105959,32332.2,26489.8,1548.5,1011.56,31394,25776.5,3251.4,2188.9,0.022,1.93843,2.139,365.294,0.0547801,312.009,1.0625,32249.4,0.794564,0.790113,0,-1,0.000677219
Vehicle No,Load No,Sequence No,Arc,From Node,To Node,Is Edge,Required,Demand,Traveling Cost,Service Cost,Driver's Service Cost,Served,Dumped,Turn Type,Turn Cost,Depart Time,Arrival Time,Visit No,Shape
0,0,0,2130,995,211,0,0,0,250.7,0,0,0,0,None,0,0,250.7,1,LINESTRING(-94.735139 39.691017	-94.732179 39.691635	-94.732096 39.691653	-94.732687 39.693173	-94.732707 39.693234	-94.733085 39.694187	-94.733319 39.694597	-94.733665 39.695045	-94.733591 39.695060	-94.733258 39.695128	-94.732516 39.695275	-94.732272 39.695323	-94.731547 39.695467	-94.731370 39.695501	-94.730904 39.695593	-94.730723 39.695631	-94.730273 39.695721	-94.730103 39.695756	-94.729525 39.695878	-94.729320 39.695945	-94.728974 39.696128	-94.727784 39.696931	-94.727467 39.697033	-94.727228 39.697122	-94.726835 39.697216	-94.726679 39.697254	-94.726441 39.697327	-94.725445 39.697458	-94.724811 39.697384	-94.724501 39.697319	-94.724011 39.697229	-94.723184 39.697139	-94.722415 39.697196	-94.721801 39.697337	-94.721314 39.697527	-94.721199 39.697584	-94.720837 39.697798	-94.720117 39.698338	-94.719597 39.698730	-94.719394 39.698857	-94.718636 39.699170	-94.718051 39.699348	-94.717932 39.699383	-94.717196 39.699541	-94.716964 39.699573	-94.716050 39.699680	-94.715547 39.699759	-94.715354 39.699787	-94.714751 39.699907	-94.712880 39.700306	-94.712677 39.700362	-94.712443 39.700447	-94.712363 39.700476	-94.711752 39.700783	-94.711433 39.700997	-94.711287 39.701099	-94.710847 39.701404	-94.710532 39.701619)
0,0,1,1825,211,882,0,0,0,0.6,0,0,0,0,Straight,0,250.7,251.3,1,LINESTRING(-94.710532 39.701619	-94.710484 39.701654)
0,0,2,1742,882,210,0,0,0,0.9,0,0,0,0,Straight,0,251.3,252.2,1,LINESTRING(-94.710484 39.701654	-94.710409 39.701711)
0,0,3,1002,210,496,0,1,50,3.3,25.3,25.3,0,0,Straight,0,252.2,255.5,1,LINESTRING(-94.710409 39.701711	-94.710222 39.701845	-94.710133 39.701906)
0,0,4,1354,496,859,0,0,0,1.5,0,0,0,0,Straight,0,255.5,257,1,LINESTRING(-94.710133 39.701906	-94.710101 39.701927	-94.709990 39.701989)
0,0,5,1249,859,462,0,1,50,0.5,22.5,22.5,0,0,Straight,0,257,257.5,1,LINESTRING(-94.709990 39.701989	-94.709937 39.702010)
0,0,6,1187,462,461,0,1,950,25.8,443.8,443.8,0,0,Straight,0,257.5,283.3,1,LINESTRING(-94.709937 39.702010	-94.709777 39.702069	-94.709580 39.702131	-94.709332 39.702204	-94.709055 39.702291	-94.708917 39.702346	-94.708779 39.702406	-94.708773 39.702409	-94.708703 39.702451	-94.708653 39.702491	-94.708622 39.702514	-94.708355 39.702750	-94.708118 39.702965	-94.707794 39.703271	-94.707608 39.703442	-94.707504 39.703531	-94.707449 39.703571	-94.707380 39.703616	-94.707221 39.703688)
0,0,7,1996,461,325,0,0,0,2.9,0,0,0,0,Straight,0,283.3,286.2,1,LINESTRING(-94.707221 39.703688	-94.707127 39.703719	-94.706936 39.703754	-94.706825 39.703767)
0,0,8,401,325,873,1,0,0,0.6,0,0,0,0,Straight,0,286.2,286.8,1,LINESTRING(-94.706825 39.703767	-94.706748 39.703776)
0,0,9,402,873,328,1,0,0,0.7,0,0,0,0,Straight,0,286.8,287.5,1,LINESTRING(-94.706748 39.703776	-94.706703 39.703781	-94.706657 39.703788)
0,0,10,2041,328,853,0,0,0,3.1,0,0,0,0,Straight,0,287.5,290.6,1,LINESTRING(-94.706657 39.703788	-94.706525 39.703807	-94.706372 39.703836	-94.706245 39.703873)
0,0,11,1710,853,322,0,0,0,4,0,0,0,0,Straight,0,290.6,294.6,1,LINESTRING(-94.706245 39.703873	-94.706197 39.703887	-94.706101 39.703929	-94.706027 39.703983	-94.706013 39.703996	-94.706008 39.704001	-94.705934 39.704069	-94.705904 39.704098)
0,0,12,1121,322,416,0,1,50,8.1,30.1,30.1,0,0,Straight,0,294.6,302.7,1,LINESTRING(-94.705904 39.704098	-94.705766 39.704229	-94.705594 39.704408)
0,0,13,1246,416,372,0,1,1100,23,507,507,0,0,Right,5,302.7,325.7,1,LINESTRING(-94.705594 39.704408	-94.705426 39.704308	-94.705218 39.704214	-94.704970 39.704137	-94.704795 39.704093	-94.704555 39.704064	-94.704289 39.704064	-94.703818 39.704115	-94.703421 39.704162	-94.703071 39.704203	-94.702648 39.704251)
0,0,14,54,372,336,1,1,50,1.3,23.3,23.3,0,0,Straight,0,325.7,327,1,LINESTRING(-94.702648 39.704251	-94.702534 39.704263	-94.702472 39.704270)
0,0,15,1223,336,368,0,1,750,17.4,347.4,347.4,0,0,Straight,0,327,344.4,1,LINESTRING(-94.702472 39.704270	-94.702195 39.704302	-94.702053 39.704330	-94.701966 39.704347	-94.701803 39.704394	-94.701664 39.704456	-94.701536 39.704545	-94.701408 39.704647	-94.701273 39.704807	-94.701167 39.704979)
0,0,16,1056,368,391,0,1,650,14.1,300.1,300.1,0,0,Straight,0,344.4,358.5,1,LINESTRING(-94.701167 39.704979	-94.701131 39.705036	-94.700978 39.705336	-94.700839 39.705638	-94.700720 39.705854	-94.700699 39.705886	-94.700641 39.705979	-94.700596 39.706040	-94.700588 39.706053	-94.700549 39.706105	-94.700473 39.706179)
0,0,17,46,391,319,1,1,100,3.7,47.7,47.7,0,0,Straight,0,358.5,362.2,1,LINESTRING(-94.700473 39.706179	-94.700371 39.706278	-94.700340 39.706308	-94.700322 39.706324	-94.700241 39.706395	-94.700223 39.706410	-94.700191 39.706432	-94.700139 39.706470)
0,0,18,324,319,8,1,0,0,1,0,0,0,0,Straight,0,362.2,363.2,1,LINESTRING(-94.700139 39.706470	-94.700092 39.706504	-94.700082 39.706511	-94.700033 39.706542)
0,0,19,1644,8,26,0,0,0,1.2,0,0,0,0,Straight,0,363.2,364.4,1,LINESTRING(-94.700033 39.706542	-94.699994 39.706566	-94.699890 39.706614)
0,0,20,347,26,304,1,0,0,0.3,0,0,0,0,Straight,0,364.4,364.7,1,LINESTRING(-94.699890 39.706614	-94.699859 39.706631	-94.699854 39.706633)
0,0,21,372,304,55,1,0,0,0.5,0,0,0,0,Straight,0,364.7,365.2,1,LINESTRING(-94.699854 39.706633	-94.699848 39.706636	-94.699789 39.706658)
0,0,22,1384,55,842,0,0,0,2.2,0,0,0,0,Straight,0,365.2,367.4,1,LINESTRING(-94.699789 39.706658	-94.699665 39.706705	-94.699517 39.706753)
0,0,23,656,842,602,1,0,0,7.8,0,0,0,0,Right,5,367.4,375.2,1,LINESTRING(-94.699517 39.706753	-94.699376 39.706585)
0,0,24,193,602,712,1,1,50,7.3,29.3,29.3,1,0,Straight,0,375.2,404.5,1,LINESTRING(-94.699376 39.706585	-94.699245 39.706429)
0,0,25,192,712,602,1,1,50,7.3,29.3,29.3,0,0,U,125,404.5,411.8,1,LINESTRING(-94.699245 39.706429	-94.699376 39.706585)
0,0,26,657,602,842,1,0,0,7.8,0,0,0,0,Straight,0,411.8,419.6,1,LINESTRING(-94.699376 39.706585	-94.699517 39.706753)
0,0,27,1612,842,54,0,0,0,4.1,0,0,0,0,Right,5,419.6,423.7,1,LINESTRING(-94.699517 39.706753	-94.699155 39.706872	-94.699079 39.706901	-94.699029 39.706919	-94.699017 39.706925)
0,0,28,1956,54,535,0,0,0,2.5,0,0,0,0,Straight,0,423.7,426.2,1,LINESTRING(-94.699017 39.706925	-94.698925 39.706968	-94.698815 39.707023	-94.698734 39.707074)
0,0,29,541,535,674,1,0,0,6.9,0,0,0,0,Right,5,426.2,433.1,1,LINESTRING(-94.698734 39.707074	-94.698566 39.706953)
0,0,30,114,674,495,1,1,100,7,51,51,0,0,Straight,0,433.1,440.1,1,LINESTRING(-94.698566 39.706953	-94.698511 39.706914	-94.698404 39.706825)
0,0,31,115,495,674,1,1,100,7,51,51,1,0,U,125,440.1,491.1,1,LINESTRING(-94.698404 39.706825	-94.698511 39.706914	-94.698566 39.706953)
0,0,32,540,674,535,1,0,0,6.9,0,0,0,0,Straight,0,491.1,498,1,LINESTRING(-94.698566 39.706953	-94.698734 39.707074)
0,0,33,1922,535,917,0,0,0,0.5,0,0,0,0,Right,5,498,498.5,1,LINESTRING(-94.698734 39.707074	-94.698677 39.707110)
