Problem Type,Multi Vehicle Solution Method,Multi Vehicle Clustering Method,Single Vehicle Solution Method,Single Vehicle Clustering Method,Number of Vehicles,Max Route Time,Max Route Time wo Turns,Total Route Time,Total Route Time wo Turns,Avg Route Time,Avg Route Time wo Turns,Std Dev Route Time,Std Dev Route Time wo Turns,Min Route Time,Min Route Time wo Turns,Range Route Time,Range Route Time wo Turns,Shortest Path Time(Sec),Balanced GP Time(Sec),Capacitated GP Time(Sec),Computational Time(Sec),VA(NHO),VA(ATD),VA(CCI),VA(DMT),VA(ROI),VA(AOI),Optimal,Lower Bound,MIP Gap
1,1,1,1,11,4,41248.6,34038.6,132424,108274,33105.9,27068.4,7169.08,6554.32,24050.4,18355.4,17198.2,15683.2,0.025,4.19388,1.55,367.239,0.184982,483.963,1.09821,44073.9,1.32097,0.920042,0,-1,-1
Vehicle No,Load No,Sequence No,Arc,From Node,To Node,Is Edge,Required,Demand,Traveling Cost,Service Cost,Driver's Service Cost,Served,Dumped,Turn Type,Turn Cost,Depart Time,Arrival Time,Visit No,Shape
0,0,0,2127,995,206,0,0,0,336.7,0,0,0,0,None,0,0,336.7,1,LINESTRING(-94.735139 39.691017	-94.732179 39.691635	-94.732096 39.691653	-94.732687 39.693173	-94.732707 39.693234	-94.733085 39.694187	-94.733319 39.694597	-94.733665 39.695045	-94.734103 39.695584	-94.734250 39.695756	-94.734395 39.695911	-94.734682 39.696149	-94.736784 39.697701	-94.737299 39.698078	-94.737549 39.698264	-94.738201 39.698747	-94.738540 39.698998	-94.739085 39.699403	-94.737656 39.700435	-94.737313 39.700680	-94.737072 39.700849	-94.736661 39.701091	-94.735450 39.701237	-94.733248 39.701388	-94.733059 39.701423	-94.732514 39.701537	-94.731487 39.701779	-94.731251 39.701827	-94.731204 39.701837	-94.731111 39.701856	-94.731017 39.701876	-94.730454 39.701997	-94.728843 39.703069	-94.728036 39.703787	-94.727498 39.704269	-94.727390 39.704367	-94.727174 39.704571	-94.726887 39.704831	-94.726685 39.705009	-94.726472 39.705207	-94.726065 39.705577	-94.725252 39.706325	-94.724737 39.706960	-94.724715 39.707011	-94.724664 39.707125	-94.724510 39.707916	-94.724409 39.708533	-94.724402 39.708577	-94.724008 39.709452	-94.723930 39.709545	-94.723568 39.709940	-94.723360 39.710119	-94.723096 39.710302	-94.722660 39.710620)
0,0,1,1749,206,205,0,0,0,2.1,0,0,0,0,Straight,0,336.7,338.8,1,LINESTRING(-94.722660 39.710620	-94.722581 39.710680	-94.722522 39.710724)
0,0,2,1419,205,132,0,0,0,1.5,0,0,0,0,Left,25,338.8,340.3,1,LINESTRING(-94.722522 39.710724	-94.722582 39.710777	-94.722635 39.710818)
0,0,3,2058,132,204,0,0,0,2.9,0,0,0,0,Straight,0,340.3,343.2,1,LINESTRING(-94.722635 39.710818	-94.722927 39.711030)
0,0,4,1513,204,203,0,0,0,13.6,0,0,0,0,Straight,0,343.2,356.8,1,LINESTRING(-94.722927 39.711030	-94.723181 39.711220	-94.723518 39.711476	-94.724013 39.711852	-94.724309 39.712083	-94.724380 39.712135)
0,0,5,1834,203,247,0,0,0,1.7,0,0,0,0,Right,5,356.8,358.5,1,LINESTRING(-94.724380 39.712135	-94.724242 39.712250)
0,0,6,1938,247,245,0,0,0,6.4,0,0,0,0,Straight,0,358.5,364.9,1,LINESTRING(-94.724242 39.712250	-94.724105 39.712282	-94.723662 39.712685)
0,0,7,1373,245,244,0,0,0,12.7,0,0,0,0,Straight,0,364.9,377.6,1,LINESTRING(-94.723662 39.712685	-94.723543 39.712787	-94.723221 39.713089	-94.723139 39.713154)
0,0,8,1897,244,243,0,0,0,2,0,0,0,0,Left,25,377.6,379.6,1,LINESTRING(-94.723139 39.713154	-94.723195 39.713186	-94.723254 39.713219)
0,0,9,2109,243,914,0,0,0,4.8,0,0,0,0,Straight,0,379.6,384.4,1,LINESTRING(-94.723254 39.713219	-94.723494 39.713356	-94.723630 39.713434)
0,0,10,1311,914,736,0,0,0,2.1,0,0,0,0,Straight,0,384.4,386.5,1,LINESTRING(-94.723630 39.713434	-94.723808 39.713536)
0,0,11,821,736,957,1,0,0,1.2,0,0,0,0,Straight,0,386.5,387.7,1,LINESTRING(-94.723808 39.713536	-94.723904 39.713591)
0,0,12,460,957,497,1,0,0,12.6,0,0,0,0,Left,25,387.7,400.3,1,LINESTRING(-94.723904 39.713591	-94.724210 39.713367)
0,0,13,459,497,619,1,0,0,6.3,0,0,0,0,Straight,0,400.3,406.6,1,LINESTRING(-94.724210 39.713367	-94.724349 39.713246)
0,0,14,180,619,595,1,1,50,6.6,28.6,28.6,0,0,Straight,0,406.6,413.2,1,LINESTRING(-94.724349 39.713246	-94.724495 39.713119)
0,0,15,181,595,619,1,1,50,6.6,28.6,28.6,1,0,U,125,413.2,441.8,1,LINESTRING(-94.724495 39.713119	-94.724349 39.713246)
0,0,16,458,619,497,1,0,0,6.3,0,0,0,0,Straight,0,441.8,448.1,1,LINESTRING(-94.724349 39.713246	-94.724210 39.713367)
0,0,17,461,497,957,1,0,0,12.6,0,0,0,0,Straight,0,448.1,460.7,1,LINESTRING(-94.724210 39.713367	-94.723904 39.713591)
0,0,18,1276,957,694,0,0,0,1,0,0,0,0,Left,25,460.7,461.7,1,LINESTRING(-94.723904 39.713591	-94.723981 39.713637)
0,0,19,1792,694,508,0,0,0,2,0,0,0,0,Straight,0,461.7,463.7,1,LINESTRING(-94.723981 39.713637	-94.724143 39.713730)
0,0,20,1535,508,485,0,0,0,1.8,0,0,0,0,Straight,0,463.7,465.5,1,LINESTRING(-94.724143 39.713730	-94.724283 39.713811)
0,0,21,437,485,825,1,0,0,7,0,0,0,0,Right,5,465.5,472.5,1,LINESTRING(-94.724283 39.713811	-94.724141 39.713951)
0,0,22,530,825,528,1,0,0,15.6,0,0,0,0,Straight,0,472.5,488.1,1,LINESTRING(-94.724141 39.713951	-94.723824 39.714266)
0,0,23,527,528,588,1,0,0,5.9,0,0,0,0,Straight,0,488.1,494,1,LINESTRING(-94.723824 39.714266	-94.723704 39.714384)
0,0,24,645,588,794,1,0,0,6.2,0,0,0,0,Left,25,494,500.2,1,LINESTRING(-94.723704 39.714384	-94.723870 39.714483)
0,0,25,512,794,525,1,0,0,6,0,0,0,0,Straight,0,500.2,506.2,1,LINESTRING(-94.723870 39.714483	-94.724029 39.714579)
0,0,26,515,525,804,1,0,0,7.4,0,0,0,0,Straight,0,506.2,513.6,1,LINESTRING(-94.724029 39.714579	-94.724228 39.714693)
0,0,27,889,804,964,1,0,0,6.1,0,0,0,0,Right,5,513.6,519.7,1,LINESTRING(-94.724228 39.714693	-94.724167 39.714759	-94.724113 39.714819)
0,0,28,288,964,827,1,1,1550,16.3,698.3,698.3,1,0,Straight,0,519.7,1218,1,LINESTRING(-94.724113 39.714819	-94.724066 39.714882	-94.724031 39.714948	-94.724003 39.715005	-94.723988 39.715056	-94.723986 39.715103	-94.723990 39.715169	-94.724004 39.715209)
0,0,29,287,827,828,1,1,1450,23,661,661,0,0,Straight,0,1218,1241,1,LINESTRING(-94.724004 39.715209	-94.724017 39.715242	-94.724042 39.715281	-94.724086 39.715320	-94.724147 39.715368	-94.724257 39.715438	-94.724557 39.715608)
0,0,30,218,828,654,1,1,50,6.9,28.9,28.9,0,0,Straight,0,1241,1247.9,1,LINESTRING(-94.724557 39.715608	-94.724743 39.715713)
0,0,31,622,654,579,1,0,0,6.4,0,0,0,0,Straight,0,1247.9,1254.3,1,LINESTRING(-94.724743 39.715713	-94.724916 39.715811)
0,0,32,627,579,950,1,0,0,7.3,0,0,0,0,Straight,0,1254.3,1261.6,1,LINESTRING(-94.724916 39.715811	-94.725116 39.715924)
0,0,33,1053,950,680,0,1,50,15.1,37.1,37.1,1,0,Left,25,1261.6,1298.7,1,LINESTRING(-94.725116 39.715924	-94.725441 39.715623	-94.725674 39.715393	-94.725718 39.715324	-94.725736 39.715276)
