Instance,VehicleIndex,VehicleID,VehicleCapacity,VehicleMaxDuration,VehicleEfficiency,ClusterDemand,TaskCount,EstimatedRouteCost,ActualRouteCost,DiffRouteCost,AbsolutePercentageError
R-A-c-ht,0,1,24000,39600,1.1,43550,125,33455,33687,-232,0.6886929676
R-A-c-ht,1,2,24000,39600,1.05,13150,263,32157.7,28495.3,3662.4,12.8526458749
R-A-c-ht,2,3,24000,39600,0.9,50900,133,33502.8,33825.4,-322.6,0.9537211681
R-A-c-ht,3,4,24000,39600,1.16,20200,160,27160.9,26138.3,1022.6,3.9122666738
R-A-c-ht,4,5,24000,39600,1.02,45300,148,34275.6,34603,-327.4,0.9461607375
R-A-c-ht,5,6,32000,39600,1.19,27050,195,34080.9,36651.4,-2570.5,7.0133746596
R-A-c-ht,6,7,32000,39600,1.12,44950,139,33459.5,34980.6,-1521.1,4.3484102617
R-A-c-ht,7,8,32000,39600,1.16,34450,121,33345,32317.6,1027.4,3.1790727034
R-A-c-ht,8,9,32000,39600,0.92,53150,127,33064.7,33599.5,-534.8,1.5916903525
R-A-c-ht,9,10,40000,39600,1.09,37150,155,30634.5,30556.5,78,0.2552648373
R-A-c-ht,10,11,40000,39600,1.16,36800,140,32622.2,32091.3,530.9,1.6543424542
