Instance,VehicleIndex,VehicleID,VehicleCapacity,VehicleMaxDuration,VehicleEfficiency,ClusterDemand,TaskCount,EstimatedRouteCost,ActualRouteCost,DiffRouteCost,AbsolutePercentageError
R-A-c,0,1,24000,39600,1,28850,251,32202.3,31886.3,316,0.9910212223
R-A-c,1,2,24000,39600,1,42700,113,27317.1,27904.4,-587.3,2.1046859993
R-A-c,2,3,24000,39600,1,38950,122,27024.3,27385.7,-361.4,1.3196668334
R-A-c,3,4,24000,39600,1,32400,145,27191,25986.2,1204.8,4.6363069629
R-A-c,4,5,24000,39600,1,40550,145,28612.2,28520.1,92.1,0.322930144
R-A-c,5,6,24000,39600,1,16800,343,29189.5,25914.7,3274.8,12.6368431817
R-A-c,6,7,24000,39600,1,45200,139,32012.3,31381,631.3,2.0117268411
R-A-c,7,8,24000,39600,1,30300,100,22882,22621.9,260.1,1.1497707973
R-A-c,8,9,24000,39600,1,47500,149,31000.2,31235.7,-235.5,0.7539450052
R-A-c,9,10,24000,39600,1,34750,98,24113.7,23981.6,132.1,0.5508389765
R-A-c,10,11,24000,39600,1,48650,101,33113.2,33602.6,-489.4,1.4564349187
