Instance,VehicleIndex,VehicleID,VehicleCapacity,VehicleMaxDuration,VehicleEfficiency,ClusterDemand,TaskCount,EstimatedRouteCost,ActualRouteCost,DiffRouteCost,AbsolutePercentageError
R-B-a-ht,0,1,24000,39600,1.04,36250,99,29918.7,30584.6,-665.9,2.1772395258
R-B-a-ht,1,2,24000,39600,1.17,31950,82,29308,29866.7,-558.7,1.8706452337
R-B-a-ht,2,3,24000,39600,1.19,33950,104,29891.2,32125.2,-2234,6.9540423095
R-B-a-ht,3,4,24000,39600,0.99,42500,108,29915.8,31955.8,-2040,6.3838176481
R-B-a-ht,4,5,24000,39600,1.15,35950,92,29698.3,32117.7,-2419.4,7.532917986
R-B-a-ht,5,6,24000,39600,0.9,40500,106,28663.4,29452.9,-789.5,2.6805509814
R-B-a-ht,6,7,24000,39600,1.12,33200,110,28404.6,29770.5,-1365.9,4.588098957
R-B-a-ht,7,8,32000,39600,1.02,38600,90,30051.3,30195.3,-144,0.4768954109
R-B-a-ht,8,9,32000,39600,0.81,48750,105,28917.1,29640.4,-723.3,2.440250469
R-B-a-ht,9,10,32000,39600,1.09,37300,64,29192.3,29499.1,-306.8,1.0400317298
R-B-a-ht,10,11,40000,39600,0.96,41750,105,29941.2,32030.5,-2089.3,6.522845413
R-B-a-ht,11,12,40000,39600,1.13,38850,114,29330,30009.7,-679.7,2.2649343379
