Instance,VehicleIndex,VehicleID,VehicleCapacity,VehicleMaxDuration,VehicleEfficiency,ClusterDemand,TaskCount,EstimatedRouteCost,ActualRouteCost,DiffRouteCost,AbsolutePercentageError
R-B-a,0,1,24000,39600,1,38450,88,27541.8,27460,81.8,0.2978878369
R-B-a,1,2,24000,39600,1,36050,114,27245.4,27557,-311.6,1.1307471786
R-B-a,2,3,24000,39600,1,34850,81,26639.1,27259,-619.9,2.2741113027
R-B-a,3,4,24000,39600,1,34200,73,25739.7,26158.7,-419,1.6017615554
R-B-a,4,5,24000,39600,1,40250,87,28432.2,29061.2,-629,2.1643978913
R-B-a,5,6,24000,39600,1,39050,120,29961.1,30004.6,-43.5,0.1449777701
R-B-a,6,7,24000,39600,1,40800,96,28855.8,29557.3,-701.5,2.3733561591
R-B-a,7,8,24000,39600,1,40900,132,29492.7,30613.1,-1120.4,3.6598711009
R-B-a,8,9,24000,39600,1,42250,107,30456,30737.7,-281.7,0.9164641466
R-B-a,9,10,24000,39600,1,36900,92,27494.3,28539.1,-1044.8,3.6609423563
R-B-a,10,11,24000,39600,1,39400,74,27583.4,28214.3,-630.9,2.2361001336
R-B-a,11,12,24000,39600,1,36450,115,28311.5,28759.1,-447.6,1.5563769381
