Instance,VehicleIndex,VehicleID,VehicleCapacity,VehicleMaxDuration,VehicleEfficiency,ClusterDemand,TaskCount,EstimatedRouteCost,ActualRouteCost,DiffRouteCost,AbsolutePercentageError
R-B-d-ht,0,1,24000,39600,0.9,42150,133,32922.6,31642.9,1279.7,4.0441931681
R-B-d-ht,1,2,24000,39600,1.19,29650,84,30073,28824,1249,4.3331945601
R-B-d-ht,2,3,24000,39600,1.12,31850,112,32176.4,31479.5,696.9,2.2138216935
R-B-d-ht,3,4,24000,39600,0.98,35600,111,30389.3,28959.1,1430.2,4.938689393
R-B-d-ht,4,5,24000,39600,0.83,46450,140,33980.5,36751.9,-2771.4,7.5408346235
R-B-d-ht,5,6,24000,39600,0.93,44600,155,33562.5,33457.5,105,0.3138309796
R-B-d-ht,6,7,32000,39600,1,41850,125,33497.5,33593,-95.5,0.2842854166
R-B-d-ht,7,8,32000,39600,1.17,31550,153,31703.2,29914.2,1789,5.9804373843
R-B-d-ht,8,9,32000,39600,0.84,30550,221,31871.8,28245.8,3626,12.8373067854
R-B-d-ht,9,10,40000,39600,1.02,32700,140,30305.8,30762.1,-456.3,1.4833187591
R-B-d-ht,10,11,40000,39600,1.08,43350,110,34355.5,33966.5,389,1.1452460513
