Instance,VehicleIndex,VehicleID,VehicleCapacity,VehicleMaxDuration,VehicleEfficiency,ClusterDemand,TaskCount,EstimatedRouteCost,ActualRouteCost,DiffRouteCost,AbsolutePercentageError
R-B-d,0,1,24000,39600,1,33100,174,29289.2,28097.3,1191.9,4.2420446093
R-B-d,1,2,24000,39600,1,36200,104,28304.6,27312.3,992.3,3.6331616158
R-B-d,2,3,24000,39600,1,33350,203,32247.2,30515.5,1731.7,5.6748209926
R-B-d,3,4,24000,39600,1,35450,95,28094.6,27396.1,698.5,2.549632977
R-B-d,4,5,24000,39600,1,28750,81,24037.1,23843.2,193.9,0.8132297678
R-B-d,5,6,24000,39600,1,33150,128,29121.2,27461.4,1659.8,6.0441201104
R-B-d,6,7,24000,39600,1,42950,124,30979.4,34674.3,-3694.9,10.6560190112
R-B-d,7,8,24000,39600,1,40150,142,31143.8,30654.8,489,1.5951824837
R-B-d,8,9,24000,39600,1,42600,138,31536.4,31490.8,45.6,0.1448041968
R-B-d,9,10,24000,39600,1,42650,148,32726.2,31920.6,805.6,2.5237620847
R-B-d,10,11,24000,39600,1,41950,147,32165.5,31641,524.5,1.657659366
