Instance,VehicleIndex,VehicleID,VehicleCapacity,VehicleMaxDuration,VehicleEfficiency,ClusterDemand,TaskCount,EstimatedRouteCost,ActualRouteCost,DiffRouteCost,AbsolutePercentageError
R-B-ht,0,1,24000,39600,1.17,22550,74,22154.2,21566.6,587.6,2.7245833836
R-B-ht,1,2,24000,39600,1.12,29150,96,29586.3,28222.8,1363.5,4.8312003061
R-B-ht,2,3,24000,39600,0.83,48000,121,30509.8,35040.4,-4530.6,12.9296469218
R-B-ht,3,4,24000,39600,1.05,22600,113,23168.4,21690.7,1477.7,6.8125971038
R-B-ht,4,5,24000,39600,0.99,27800,123,29612.4,27738.1,1874.3,6.7571318872
R-B-ht,5,6,24000,39600,1.05,23750,124,26063,23735.7,2327.3,9.8050615739
R-B-ht,6,7,24000,39600,1.14,32850,61,27134.4,28425.7,-1291.3,4.5427201441
R-B-ht,7,8,24000,39600,0.9,43100,89,30194.5,31264.9,-1070.4,3.4236476048
R-B-ht,8,9,24000,39600,1.09,18300,121,22984,21987.4,996.6,4.5325959413
R-B-ht,9,10,24000,39600,0.85,37750,159,30352.9,30098.5,254.4,0.8452248451
R-B-ht,10,11,24000,39600,0.89,37450,137,29973.2,30404.9,-431.7,1.4198369342
R-B-ht,11,12,24000,39600,1.12,17650,48,15306.2,15269.2,37,0.2423178687
R-B-ht,12,13,24000,39600,0.93,35950,139,30533.2,30059.5,473.7,1.5758745155
R-B-ht,13,14,24000,39600,1.13,23050,61,19193.8,18628.2,565.6,3.0362568579
R-B-ht,14,15,24000,39600,0.84,44800,129,31706.2,31068.1,638.1,2.0538751967
R-B-ht,15,16,24000,39600,0.86,43700,88,30201.4,29956,245.4,0.8192014955
R-B-ht,16,17,24000,39600,1.08,31100,82,27623.8,27974.1,-350.3,1.2522297411
R-B-ht,17,18,24000,39600,0.82,46450,151,31782.3,31157,625.3,2.0069326315
R-B-ht,18,19,24000,39600,1.03,25700,53,23607.6,23249.9,357.7,1.5385012409
R-B-ht,19,20,24000,39600,1.16,26250,102,27582.6,28221.3,-638.7,2.2631841907
R-B-ht,20,21,24000,39600,1.01,30150,107,29838.5,27948.8,1889.7,6.7612920769
R-B-ht,21,22,24000,39600,1.07,31950,75,28338.4,27973.2,365.2,1.3055352981
R-B-ht,22,23,32000,39600,0.81,31800,238,31572.3,30261.9,1310.4,4.3301973769
R-B-ht,23,24,32000,39600,1.05,40850,112,31779.9,33392.7,-1612.8,4.8297981295
R-B-ht,24,25,32000,39600,1.04,40750,82,30440.1,31054.5,-614.4,1.9784572284
R-B-ht,25,26,32000,39600,1.03,34800,117,30068.8,29937.4,131.4,0.4389158711
R-B-ht,26,27,32000,39600,0.96,42550,142,30439.5,32089.1,-1649.6,5.1406864013
R-B-ht,27,28,32000,39600,0.95,46150,110,31349.3,32913.5,-1564.2,4.7524571984
R-B-ht,28,29,32000,39600,1.19,23350,49,19967.4,19746.9,220.5,1.1166309649
R-B-ht,29,30,32000,39600,0.81,47000,143,31909.9,31720.9,189,0.5958216822
R-B-ht,30,31,32000,39600,0.81,51350,143,31525.8,33132,-1606.2,4.8478812025
R-B-ht,31,32,32000,39600,1.18,34150,83,29871.9,31037.7,-1165.8,3.7560772867
R-B-ht,32,33,40000,39600,0.87,38750,136,27055.6,27202.5,-146.9,0.5400238949
R-B-ht,33,34,40000,39600,0.85,45800,125,30756,31859.5,-1103.5,3.4636450666
