Instance,VehicleIndex,VehicleID,VehicleCapacity,VehicleMaxDuration,VehicleEfficiency,ClusterDemand,TaskCount,EstimatedRouteCost,ActualRouteCost,DiffRouteCost,AbsolutePercentageError
R-B,0,1,24000,39600,1,20000,221,22745.5,22033.5,712,3.2314430299
R-B,1,2,24000,39600,1,39700,87,28756.4,29671.9,-915.5,3.0854107759
R-B,2,3,24000,39600,1,30150,147,27777.5,27222.7,554.8,2.0380050473
R-B,3,4,24000,39600,1,28650,131,28040.4,26828.2,1212.2,4.5183799137
R-B,4,5,24000,39600,1,30350,113,26073.5,25821.7,251.8,0.9751488089
R-B,5,6,24000,39600,1,38150,146,30191.8,29703.3,488.5,1.6445984116
R-B,6,7,24000,39600,1,32500,106,26681.5,26225.3,456.2,1.7395415877
R-B,7,8,24000,39600,1,29400,62,24248.9,24071.9,177,0.7352971722
R-B,8,9,24000,39600,1,37000,111,28327.6,27896.4,431.2,1.5457191609
R-B,9,10,24000,39600,1,33400,122,28565,27534.9,1030.1,3.7410704234
R-B,10,11,24000,39600,1,37450,88,28771.3,28610.5,160.8,0.562031422
R-B,11,12,24000,39600,1,31600,86,25393.9,25193.7,200.2,0.7946431052
R-B,12,13,24000,39600,1,36450,83,27684.3,27912.5,-228.2,0.8175548589
R-B,13,14,24000,39600,1,26400,52,22193.1,22126.6,66.5,0.3005432376
R-B,14,15,24000,39600,1,32050,100,26850.8,26079,771.8,2.9594693048
R-B,15,16,24000,39600,1,34650,97,27239.7,27010.3,229.4,0.8493056353
R-B,16,17,24000,39600,1,30450,56,24447.9,24276.7,171.2,0.7052029312
R-B,17,18,24000,39600,1,36250,132,29160.5,28626.1,534.4,1.866827825
R-B,18,19,24000,39600,1,32200,125,26856.3,26289,567.3,2.1579367796
R-B,19,20,24000,39600,1,35850,94,27299,27542.2,-243.2,0.8830086195
R-B,20,21,24000,39600,1,38000,109,28411.3,28252.7,158.6,0.5613622769
R-B,21,22,24000,39600,1,45150,93,30466.6,31641,-1174.4,3.7116399608
R-B,22,23,24000,39600,1,31100,113,25731.2,25829.4,-98.2,0.3801869188
R-B,23,24,24000,39600,1,44250,112,31282.3,31448.5,-166.2,0.5284830755
R-B,24,25,24000,39600,1,34200,83,26326.1,26610,-283.9,1.0668921458
R-B,25,26,24000,39600,1,40050,129,29393.9,30199.7,-805.8,2.6682384262
R-B,26,27,24000,39600,1,42550,112,30560,31238.1,-678.1,2.1707466203
R-B,27,28,24000,39600,1,33600,113,27581.5,26659.5,922,3.4584294529
R-B,28,29,24000,39600,1,36500,84,27628.3,27468.3,160,0.5824896335
R-B,29,30,24000,39600,1,39200,109,29750.4,29807.2,-56.8,0.190557986
R-B,30,31,24000,39600,1,28900,151,27390.7,26237.7,1153,4.3944400614
R-B,31,32,24000,39600,1,27600,162,28202.4,26472.4,1730,6.5351082637
R-B,32,33,24000,39600,1,44350,125,30962.9,32016.2,-1053.3,3.2898969896
R-B,33,34,24000,39600,1,39250,79,27863.6,28314.5,-450.9,1.5924702891
